Date,Open,High,Low,Close,Volume,Volume(LINK),Market Cap
03/19/2024,$18.29,$18.42,$16.55,$16.80,$825.9 m,47393487,$9.7 bn
03/18/2024,$18.64,$19.48,$18.09,$18.32,$635.2 m,33833098,$10.5 bn
03/17/2024,$18.17,$18.80,$17.50,$18.68,$481.5 m,26269092,$10.2 bn
03/16/2024,$19.62,$19.81,$17.89,$18.13,$571.1 m,30020155,$10.6 bn
03/15/2024,$20.90,$20.97,$18.72,$19.61,$900.8 m,46138891,$10.9 bn
03/14/2024,$20.76,$21.89,$20.05,$20.90,$1.1 bn,53451820,$11.6 bn
03/13/2024,$20.71,$20.94,$20.25,$20.76,$511.3 m,24818050,$11.5 bn
03/12/2024,$21.30,$21.33,$19.79,$20.67,$739.3 m,35877653,$11.5 bn
03/11/2024,$21.77,$22.66,$20.97,$21.30,$1.1 bn,53481175,$11.9 bn
03/10/2024,$19.97,$21.83,$19.51,$21.70,$657.9 m,32980413,$11.1 bn
03/09/2024,$19.69,$20.29,$19.68,$19.98,$360.5 m,18042829,$11.1 bn
03/08/2024,$20.13,$20.37,$19.34,$19.70,$512.8 m,25803318,$11.1 bn
03/07/2024,$20.12,$20.31,$19.62,$20.11,$478 m,23885022,$11.1 bn
03/06/2024,$18.99,$20.13,$18.42,$20.08,$656.4 m,33753222,$10.8 bn
03/05/2024,$20.40,$20.96,$17.82,$18.98,$1.1 bn,56083520,$11.2 bn
03/04/2024,$20.49,$20.84,$19.93,$20.43,$637.4 m,31221470,$11.4 bn
03/03/2024,$21.40,$21.48,$20.11,$20.50,$564.8 m,27278869,$11.5 bn
03/02/2024,$20.05,$21.64,$20.04,$21.40,$773 m,36790781,$11.7 bn
03/01/2024,$19.28,$20.07,$19.28,$20.05,$424.8 m,21465349,$11 bn
02/29/2024,$19.41,$20.43,$18.88,$19.28,$727.8 m,36735761,$11 bn
02/28/2024,$19.03,$20.34,$18.57,$19.42,$1.1 bn,56341432,$10.7 bn
02/27/2024,$19.11,$19.34,$18.79,$19.03,$422.1 m,22094764,$10.6 bn
02/26/2024,$18.71,$19.25,$18.17,$19.11,$402.1 m,21502953,$10.4 bn
02/25/2024,$18.53,$18.83,$18.38,$18.70,$212.5 m,11427186,$10.4 bn
02/24/2024,$17.96,$18.55,$17.79,$18.53,$236.1 m,12893852,$10.2 bn
02/23/2024,$18.14,$18.27,$17.68,$17.94,$389.2 m,21620503,$10 bn
02/22/2024,$18.57,$19.00,$18.11,$18.13,$376.4 m,20365369,$10.3 bn
02/21/2024,$19.27,$19.28,$18.05,$18.59,$442.2 m,23778898,$10.4 bn
02/20/2024,$19.83,$19.87,$18.70,$19.29,$506 m,26059652,$10.8 bn
02/19/2024,$20.11,$20.21,$19.71,$19.82,$396.2 m,19816724,$11.1 bn
02/18/2024,$20.02,$20.32,$19.80,$20.10,$300.2 m,15023600,$11.1 bn
02/17/2024,$19.55,$20.25,$19.28,$20.03,$365.4 m,18577727,$11 bn
02/16/2024,$19.93,$20.29,$19.27,$19.56,$417.7 m,21126193,$11 bn
02/15/2024,$20.26,$20.50,$19.71,$19.93,$474.2 m,23641673,$11.2 bn
02/14/2024,$19.89,$20.41,$19.74,$20.25,$467.3 m,23217685,$11.2 bn
02/13/2024,$20.46,$20.58,$19.61,$19.88,$521.9 m,26079927,$11.1 bn
02/12/2024,$20.17,$20.82,$19.81,$20.50,$750.2 m,36894286,$11.3 bn
02/11/2024,$19.09,$20.63,$18.87,$20.15,$766.7 m,38134702,$11.2 bn
02/10/2024,$18.48,$19.04,$18.04,$19.04,$386.4 m,20931528,$10.3 bn
02/09/2024,$18.25,$18.60,$18.09,$18.46,$507.3 m,27685319,$10.2 bn
02/08/2024,$18.83,$19.25,$18.07,$18.22,$536.2 m,28819357,$10.4 bn
02/07/2024,$18.29,$19.05,$18.11,$18.86,$525.4 m,28490971,$10.3 bn
02/06/2024,$19.15,$19.27,$18.29,$18.30,$599.2 m,31866463,$10.5 bn
02/05/2024,$18.18,$19.69,$17.84,$19.15,$1 bn,53262709,$10.5 bn
02/04/2024,$17.67,$18.62,$17.56,$18.18,$635.3 m,35205551,$10 bn
02/03/2024,$17.82,$18.08,$17.54,$17.66,$588.1 m,33018538,$9.9 bn
02/02/2024,$17.18,$18.84,$17.18,$17.80,$1.4 bn,78182860,$10 bn
02/01/2024,$15.44,$17.34,$15.17,$17.18,$1.2 bn,71882292,$9 bn
01/31/2024,$15.49,$16.02,$15.11,$15.39,$663.8 m,42433743,$8.7 bn
01/30/2024,$14.99,$15.76,$14.90,$15.47,$491.9 m,32247896,$8.5 bn
01/29/2024,$14.47,$15.07,$14.29,$14.98,$413.9 m,28118472,$8.2 bn
01/28/2024,$14.33,$14.68,$14.22,$14.51,$289.4 m,20033300,$8 bn
01/27/2024,$14.19,$14.39,$14.10,$14.34,$197.8 m,13865711,$7.9 bn
01/26/2024,$13.73,$14.28,$13.65,$14.19,$315.6 m,22553755,$7.8 bn
01/25/2024,$14.22,$14.23,$13.55,$13.75,$304.6 m,21982449,$7.7 bn
01/24/2024,$14.29,$14.41,$13.93,$14.24,$374.4 m,26466743,$7.9 bn
01/23/2024,$14.59,$14.86,$13.60,$14.28,$553.6 m,38806697,$7.9 bn
01/22/2024,$15.41,$15.88,$14.53,$14.56,$600.4 m,39516846,$8.5 bn
01/21/2024,$15.74,$15.88,$15.40,$15.40,$278.6 m,17846824,$8.7 bn
