Date,Open,High,Low,Close,Volume,Volume(XMR),Market Cap
03/19/2024,$140.94,$141.23,$129.09,$134.13,$355.2 m,2628238,$2.5 bn
03/18/2024,$140.24,$141.81,$136.47,$141.20,$377.4 m,2712256,$2.6 bn
03/17/2024,$139.36,$144.90,$136.68,$141.20,$376.6 m,2662415,$2.6 bn
03/16/2024,$141.86,$148.00,$135.44,$139.31,$383.1 m,2684381,$2.6 bn
03/15/2024,$146.21,$146.89,$138.62,$141.76,$469 m,3295763,$2.6 bn
03/14/2024,$148.98,$150.38,$140.99,$146.13,$546.3 m,3721537,$2.7 bn
03/13/2024,$144.99,$150.00,$144.05,$148.97,$561.9 m,3857028,$2.7 bn
03/12/2024,$144.81,$146.71,$142.63,$145.10,$513.6 m,3551236,$2.7 bn
03/11/2024,$145.85,$146.11,$142.72,$144.80,$571.4 m,3962589,$2.6 bn
03/10/2024,$143.45,$147.59,$142.36,$145.81,$545.8 m,3767481,$2.7 bn
03/09/2024,$146.68,$148.23,$143.31,$143.44,$551 m,3779163,$2.7 bn
03/08/2024,$143.95,$150.56,$143.00,$146.92,$573.2 m,3896378,$2.7 bn
03/07/2024,$143.51,$148.43,$138.38,$144.06,$398.4 m,2767099,$2.6 bn
03/06/2024,$141.52,$151.10,$138.97,$143.28,$192.1 m,1327580,$2.7 bn
03/05/2024,$150.06,$150.71,$134.84,$141.58,$137.8 m,939539,$2.7 bn
03/04/2024,$150.22,$150.64,$143.94,$149.92,$772.8 m,5242971,$2.7 bn
03/03/2024,$145.60,$151.37,$144.02,$150.54,$768.9 m,5212695,$2.7 bn
03/02/2024,$143.38,$145.26,$140.63,$145.26,$734.3 m,5148803,$2.6 bn
03/01/2024,$138.18,$145.17,$137.45,$143.67,$731.4 m,5208175,$2.6 bn
02/29/2024,$134.27,$141.08,$133.49,$137.97,$703.8 m,5116788,$2.5 bn
02/28/2024,$135.90,$140.93,$133.90,$134.20,$684.7 m,4985844,$2.5 bn
02/27/2024,$132.63,$140.89,$132.01,$135.66,$696.8 m,5166942,$2.5 bn
02/26/2024,$127.35,$131.92,$127.19,$131.92,$662.5 m,5118561,$2.4 bn
02/25/2024,$123.58,$127.94,$122.76,$127.30,$636.1 m,5117223,$2.3 bn
02/24/2024,$122.84,$124.87,$121.59,$123.64,$125.2 m,1013716,$2.3 bn
02/23/2024,$123.34,$123.98,$120.28,$122.81,$137.6 m,1124042,$2.2 bn
02/22/2024,$122.10,$124.54,$121.00,$123.66,$149 m,1212022,$2.3 bn
02/21/2024,$123.40,$124.84,$117.03,$121.99,$96.2 m,796681,$2.2 bn
02/20/2024,$113.06,$123.94,$112.49,$123.15,$108.7 m,910302,$2.2 bn
02/19/2024,$122.11,$122.99,$109.92,$113.00,$114.4 m,965277,$2.2 bn
02/18/2024,$121.04,$123.14,$118.88,$122.20,$71.2 m,589554,$2.2 bn
02/17/2024,$122.61,$122.61,$118.83,$120.73,$83.7 m,697188,$2.2 bn
02/16/2024,$126.02,$128.65,$120.46,$122.62,$91.8 m,733940,$2.3 bn
02/15/2024,$128.04,$128.83,$124.68,$125.74,$113.2 m,892656,$2.3 bn
02/14/2024,$127.76,$131.53,$126.66,$127.64,$122 m,948230,$2.4 bn
02/13/2024,$126.66,$128.59,$122.70,$127.79,$138.4 m,1104091,$2.3 bn
02/12/2024,$120.66,$127.29,$118.21,$126.28,$131.7 m,1082848,$2.2 bn
02/11/2024,$119.03,$122.84,$117.26,$120.56,$113.9 m,947914,$2.2 bn
02/10/2024,$121.88,$123.35,$115.95,$119.16,$110.8 m,925656,$2.2 bn
02/09/2024,$127.69,$128.57,$120.06,$121.85,$140.3 m,1134578,$2.3 bn
02/08/2024,$130.13,$131.13,$118.32,$127.85,$153.6 m,1231014,$2.3 bn
02/07/2024,$104.07,$134.12,$103.95,$129.97,$291.8 m,2331614,$2.3 bn
02/06/2024,$165.13,$166.50,$101.74,$104.83,$305.7 m,2271301,$2.5 bn
02/05/2024,$165.90,$168.02,$163.62,$165.42,$119.4 m,720519,$3 bn
02/04/2024,$165.35,$167.66,$164.91,$165.84,$87.4 m,525964,$3.1 bn
02/03/2024,$168.59,$169.60,$162.48,$165.25,$107.6 m,643066,$3.1 bn
02/02/2024,$166.14,$170.91,$165.62,$168.54,$137.1 m,816532,$3.1 bn
02/01/2024,$164.24,$168.96,$164.05,$166.43,$144.1 m,862903,$3.1 bn
01/31/2024,$160.16,$166.31,$158.51,$164.29,$145.2 m,891688,$3 bn
01/30/2024,$168.01,$171.69,$160.05,$160.23,$139.6 m,845552,$3 bn
01/29/2024,$160.46,$169.45,$159.99,$167.81,$137.7 m,836532,$3 bn
01/28/2024,$160.29,$162.14,$158.98,$160.70,$108.2 m,673842,$2.9 bn
01/27/2024,$159.45,$161.55,$157.65,$160.35,$100.8 m,630532,$2.9 bn
01/26/2024,$157.37,$161.82,$156.06,$159.40,$128.1 m,808440,$2.9 bn
01/25/2024,$152.40,$157.67,$152.01,$157.45,$116.9 m,752600,$2.9 bn
01/24/2024,$150.09,$155.54,$149.05,$152.50,$113.7 m,747514,$2.8 bn
01/23/2024,$151.01,$154.61,$146.65,$150.18,$119.9 m,796801,$2.8 bn
01/22/2024,$157.79,$159.85,$150.23,$150.84,$150.9 m,971470,$2.9 bn
01/21/2024,$156.52,$162.92,$155.22,$157.57,$144.6 m,912974,$2.9 bn
01/20/2024,$158.06,$159.41,$155.98,$156.60,$129.9 m,826276,$2.9 bn
01/19/2024,$153.32,$158.43,$150.38,$158.14,$142.3 m,927396,$2.8 bn
01/18/2024,$157.90,$163.43,$152.12,$153.02,$153.6 m,978203,$2.9 bn
01/17/2024,$157.42,$159.99,$155.80,$157.65,$158.5 m,1003912,$2.9 bn
01/16/2024,$157.16,$159.91,$153.97,$157.33,$149.6 m,952213,$2.9 bn
01/15/2024,$154.18,$158.49,$153.27,$156.94,$163.8 m,1053525,$2.9 bn
01/14/2024,$155.58,$159.45,$153.52,$154.20,$132.9 m,845200,$2.9 bn
01/13/2024,$152.17,$156.06,$148.74,$155.51,$142.9 m,932836,$2.8 bn
01/12/2024,$152.63,$161.63,$149.77,$151.70,$182.4 m,1175071,$2.9 bn
01/11/2024,$149.00,$154.37,$148.66,$152.62,$195 m,1284087,$2.8 bn
01/10/2024,$144.29,$151.34,$143.85,$148.86,$237.5 m,1606655,$2.7 bn
01/09/2024,$147.49,$148.48,$142.95,$144.28,$233.2 m,1590698,$2.7 bn
01/08/2024,$146.19,$153.98,$144.17,$147.99,$309.3 m,2061766,$2.8 bn
01/07/2024,$152.67,$155.12,$144.84,$146.04,$188.2 m,1242108,$2.8 bn
01/06/2024,$155.41,$158.54,$150.20,$152.55,$241.8 m,1569354,$2.8 bn
01/05/2024,$164.83,$164.83,$153.77,$155.68,$292.6 m,1836644,$2.9 bn
01/04/2024,$154.11,$164.75,$149.89,$164.68,$365.6 m,2314940,$2.9 bn
01/03/2024,$167.48,$169.40,$150.94,$153.91,$372.1 m,2298208,$3 bn
01/02/2024,$169.52,$174.18,$167.19,$167.69,$313 m,1837560,$3.1 bn
01/01/2024,$165.02,$169.44,$163.31,$169.44,$175.5 m,1058305,$3 bn
12/31/2023,$166.07,$167.84,$163.89,$165.04,$195 m,1175247,$3 bn
12/30/2023,$166.05,$169.02,$162.47,$166.07,$239.8 m,1453621,$3 bn
12/29/2023,$174.63,$175.55,$162.43,$166.48,$390.1 m,2291737,$3.1 bn
12/28/2023,$175.32,$180.21,$172.71,$174.52,$352.3 m,2000317,$3.2 bn
12/27/2023,$174.07,$176.24,$172.71,$175.37,$251.6 m,1442416,$3.2 bn
12/26/2023,$173.04,$176.53,$171.23,$173.97,$235 m,1347196,$3.2 bn
12/25/2023,$171.07,$174.70,$170.66,$173.04,$198.3 m,1145927,$3.2 bn
12/24/2023,$178.57,$179.08,$170.97,$171.17,$212.7 m,1208608,$3.2 bn
12/23/2023,$176.73,$178.93,$174.83,$178.49,$221.3 m,1254084,$3.2 bn
12/22/2023,$173.53,$176.72,$171.45,$176.64,$284.9 m,1641964,$3.2 bn
12/21/2023,$174.54,$176.10,$172.39,$173.10,$224.6 m,1289278,$3.2 bn
12/20/2023,$171.31,$174.86,$170.73,$174.58,$247.7 m,1428556,$3.2 bn
12/19/2023,$173.51,$175.75,$167.98,$170.88,$282.1 m,1640629,$3.2 bn
12/18/2023,$168.22,$173.67,$166.59,$173.59,$311.8 m,1831352,$3.1 bn
12/17/2023,$168.56,$170.44,$167.27,$167.89,$196.4 m,1164454,$3.1 bn
12/16/2023,$168.27,$172.19,$167.52,$168.85,$219.9 m,1290413,$3.1 bn
12/15/2023,$168.19,$172.54,$167.86,$168.08,$295.5 m,1740939,$3.1 bn
12/14/2023,$169.17,$169.23,$166.24,$168.02,$247 m,1469106,$3.1 bn
12/13/2023,$170.83,$170.89,$167.15,$169.21,$266.2 m,1576537,$3.1 bn
12/12/2023,$171.69,$173.12,$168.08,$170.80,$273 m,1595079,$3.1 bn
12/11/2023,$175.84,$176.37,$164.62,$171.79,$336 m,1969538,$3.1 bn
12/10/2023,$175.35,$178.45,$174.73,$175.69,$233.5 m,1322025,$3.2 bn
12/09/2023,$173.87,$176.77,$173.87,$174.86,$247.1 m,1408414,$3.2 bn
12/08/2023,$172.85,$175.41,$171.97,$173.88,$315.8 m,1820347,$3.2 bn
12/07/2023,$170.55,$176.66,$170.08,$172.83,$276.7 m,1593386,$3.2 bn
12/06/2023,$170.81,$173.38,$170.19,$170.19,$245.8 m,1431132,$3.1 bn
12/05/2023,$170.24,$171.99,$167.60,$170.98,$245.1 m,1442850,$3.1 bn
12/04/2023,$172.49,$173.94,$166.47,$170.43,$257.9 m,1513810,$3.1 bn
12/03/2023,$172.58,$173.27,$170.48,$172.14,$204.6 m,1187044,$3.2 bn
12/02/2023,$171.64,$173.56,$170.33,$172.59,$226.1 m,1314094,$3.1 bn
12/01/2023,$169.75,$171.81,$169.26,$171.61,$223.5 m,1309519,$3.1 bn
11/30/2023,$165.98,$170.26,$165.96,$169.78,$205.2 m,1218961,$3.1 bn
11/29/2023,$167.72,$167.73,$164.97,$165.93,$216.6 m,1301270,$3 bn
11/28/2023,$165.47,$167.80,$164.16,$167.65,$197.2 m,1188581,$3 bn
11/27/2023,$169.32,$170.31,$165.00,$165.55,$227.2 m,1358380,$3.1 bn
11/26/2023,$171.88,$172.92,$168.19,$169.45,$169.1 m,987901,$3.1 bn
11/25/2023,$170.34,$172.80,$169.76,$171.91,$191.2 m,1116976,$3.1 bn
11/24/2023,$165.98,$171.25,$165.92,$170.40,$229 m,1359188,$3.1 bn
11/23/2023,$163.05,$167.81,$163.05,$165.99,$238.3 m,1437792,$3 bn
11/22/2023,$158.70,$163.75,$158.65,$163.13,$243.6 m,1501650,$3 bn
11/21/2023,$163.03,$165.84,$158.58,$159.30,$225 m,1374649,$3 bn
11/20/2023,$163.83,$164.86,$162.05,$163.06,$189.3 m,1155543,$3 bn
11/19/2023,$160.65,$164.09,$159.43,$163.98,$154.6 m,958143,$3 bn
11/18/2023,$162.76,$162.76,$159.14,$160.73,$155.6 m,968306,$2.9 bn
11/17/2023,$161.02,$167.00,$160.59,$162.63,$286.7 m,1760121,$3 bn
11/16/2023,$160.86,$162.80,$157.70,$160.83,$238.4 m,1482676,$2.9 bn
11/15/2023,$163.16,$166.38,$158.34,$160.88,$299.6 m,1825100,$3 bn
11/14/2023,$162.37,$166.39,$159.89,$163.26,$213.6 m,1305242,$3 bn
