Date,Open,High,Low,Close,Volume,Volume(TRX),Market Cap
03/19/2024,$0.1241,$0.1243,$0.1107,$0.1123,$674.4 m,5666021035,$10.5 bn
03/18/2024,$0.1262,$0.1267,$0.1230,$0.1241,$419.4 m,3351849321,$11.1 bn
03/17/2024,$0.1253,$0.1265,$0.1243,$0.1263,$408.2 m,3254212578,$11.1 bn
03/16/2024,$0.1263,$0.1273,$0.1247,$0.1252,$432 m,3420406054,$11.2 bn
03/15/2024,$0.1291,$0.1294,$0.1254,$0.1263,$631.5 m,4989242700,$11.2 bn
03/14/2024,$0.1319,$0.1320,$0.1279,$0.1291,$521 m,4006274777,$11.5 bn
03/13/2024,$0.1314,$0.1323,$0.1311,$0.1320,$439.8 m,3339031650,$11.6 bn
03/12/2024,$0.1337,$0.1341,$0.1307,$0.1314,$486.8 m,3681292035,$11.7 bn
03/11/2024,$0.1338,$0.1341,$0.1320,$0.1337,$504.6 m,3789196020,$11.8 bn
03/10/2024,$0.1358,$0.1361,$0.1335,$0.1338,$386.1 m,2855050554,$12 bn
03/09/2024,$0.1366,$0.1371,$0.1356,$0.1358,$374.2 m,2746979598,$12 bn
03/08/2024,$0.1371,$0.1377,$0.1360,$0.1367,$427.4 m,3118760193,$12.1 bn
03/07/2024,$0.1377,$0.1380,$0.1365,$0.1371,$434.9 m,3168591805,$12.1 bn
03/06/2024,$0.1360,$0.1383,$0.1355,$0.1378,$542.3 m,3952159539,$12.1 bn
03/05/2024,$0.1402,$0.1404,$0.1352,$0.1359,$681.3 m,4907111270,$12.3 bn
03/04/2024,$0.1406,$0.1412,$0.1396,$0.1402,$488.7 m,3482645113,$12.4 bn
03/03/2024,$0.1412,$0.1419,$0.1400,$0.1407,$348.8 m,2478220828,$12.4 bn
03/02/2024,$0.1416,$0.1417,$0.1402,$0.1415,$352.1 m,2501862897,$12.4 bn
03/01/2024,$0.1405,$0.1415,$0.1404,$0.1415,$375.9 m,2664837790,$12.5 bn
02/29/2024,$0.1422,$0.1437,$0.1403,$0.1405,$484 m,3404735868,$12.6 bn
02/28/2024,$0.1429,$0.1441,$0.1416,$0.1421,$550.5 m,3852824334,$12.6 bn
02/27/2024,$0.1398,$0.1432,$0.1397,$0.1428,$464.5 m,3285839340,$12.5 bn
02/26/2024,$0.1376,$0.1401,$0.1374,$0.1398,$337.6 m,2437833584,$12.2 bn
02/25/2024,$0.1375,$0.1380,$0.1373,$0.1376,$232.8 m,1691404333,$12.2 bn
02/24/2024,$0.1382,$0.1383,$0.1370,$0.1375,$241.5 m,1754079772,$12.2 bn
02/23/2024,$0.1390,$0.1393,$0.1379,$0.1382,$295.2 m,2128704047,$12.3 bn
02/22/2024,$0.1397,$0.1402,$0.1388,$0.1390,$337.7 m,2421073864,$12.3 bn
02/21/2024,$0.1392,$0.1404,$0.1387,$0.1398,$422.4 m,3029031728,$12.3 bn
02/20/2024,$0.1364,$0.1400,$0.1360,$0.1392,$414.9 m,3015515910,$12.2 bn
02/19/2024,$0.1352,$0.1368,$0.1351,$0.1364,$310 m,2280829444,$12 bn
02/18/2024,$0.1359,$0.1360,$0.1348,$0.1352,$278.1 m,2057236948,$12 bn
