Date,Open,High,Low,Close,Volume,Volume(UNI),Market Cap
03/19/2024,$11.86,$12.01,$10.44,$10.62,$220.7 m,19977960,$6.5 bn
03/18/2024,$12.40,$12.58,$11.60,$11.87,$137.7 m,11387287,$7.1 bn
03/17/2024,$12.07,$12.64,$11.49,$12.44,$160.8 m,13134694,$7.2 bn
03/16/2024,$13.06,$13.14,$11.85,$12.03,$162 m,12809514,$7.4 bn
03/15/2024,$13.96,$14.09,$12.34,$13.05,$285.5 m,21974943,$7.6 bn
03/14/2024,$14.23,$14.43,$13.30,$13.95,$218.4 m,15572746,$8.2 bn
03/13/2024,$14.04,$14.69,$13.84,$14.21,$184 m,12959827,$8.4 bn
03/12/2024,$14.41,$14.54,$13.39,$14.06,$228.4 m,16237200,$8.3 bn
03/11/2024,$14.23,$14.62,$13.73,$14.44,$227.5 m,16026804,$8.4 bn
03/10/2024,$14.19,$14.37,$13.64,$14.19,$224 m,15896450,$8.3 bn
03/09/2024,$14.58,$14.98,$13.96,$14.19,$260.3 m,18028285,$8.5 bn
03/08/2024,$14.90,$15.40,$14.28,$14.61,$269.5 m,18084110,$8.8 bn
03/07/2024,$15.40,$15.51,$14.67,$14.89,$289 m,19343517,$8.8 bn
03/06/2024,$13.14,$16.79,$12.59,$15.39,$803.5 m,53501567,$8.8 bn
03/05/2024,$12.34,$13.94,$11.81,$13.02,$583.3 m,45159558,$7.6 bn
03/04/2024,$12.62,$13.01,$12.14,$12.36,$279.6 m,22374732,$7.4 bn
03/03/2024,$12.61,$13.03,$11.99,$12.61,$341.7 m,27167218,$7.4 bn
03/02/2024,$11.54,$13.32,$11.35,$12.62,$503.2 m,41120640,$7.2 bn
03/01/2024,$11.12,$11.92,$10.85,$11.61,$326.5 m,28891290,$6.6 bn
02/29/2024,$10.93,$11.77,$10.75,$11.14,$469 m,42302359,$6.5 bn
02/28/2024,$10.85,$11.23,$10.26,$10.93,$387.5 m,35751794,$6.4 bn
02/27/2024,$10.59,$11.15,$10.47,$10.85,$308.1 m,28559921,$6.3 bn
02/26/2024,$11.04,$11.42,$10.43,$10.59,$384.9 m,35880489,$6.3 bn
02/25/2024,$11.28,$11.48,$10.22,$11.13,$484.8 m,45327299,$6.3 bn
02/24/2024,$11.39,$12.74,$10.99,$11.26,$1.1 bn,91172633,$6.9 bn
02/23/2024,$7.36,$12.28,$7.06,$11.35,$1.6 bn,182810365,$5.1 bn
02/22/2024,$7.39,$7.51,$7.29,$7.35,$78.6 m,10618680,$4.4 bn
02/21/2024,$7.55,$7.55,$7.09,$7.40,$93 m,12741716,$4.3 bn
02/20/2024,$7.70,$7.71,$7.28,$7.55,$113.8 m,15114294,$4.4 bn
02/19/2024,$7.65,$7.76,$7.53,$7.70,$88.7 m,11580493,$4.5 bn
02/18/2024,$7.78,$7.94,$7.56,$7.64,$88 m,11451990,$4.5 bn
02/17/2024,$7.44,$7.79,$7.39,$7.76,$112.2 m,14850631,$4.4 bn
02/16/2024,$7.52,$7.66,$7.34,$7.44,$112.5 m,15022807,$4.4 bn
02/15/2024,$6.89,$7.51,$6.89,$7.49,$133.8 m,18649463,$4.2 bn
02/14/2024,$6.68,$6.89,$6.64,$6.87,$70.6 m,10411151,$4 bn
02/13/2024,$6.84,$6.87,$6.62,$6.68,$72.3 m,10725256,$4 bn
02/12/2024,$6.68,$6.85,$6.48,$6.83,$69.8 m,10488059,$3.9 bn
02/11/2024,$6.62,$6.81,$6.57,$6.68,$65.3 m,9813793,$3.9 bn
02/10/2024,$6.66,$6.74,$6.55,$6.63,$50.2 m,7565662,$3.9 bn
02/09/2024,$6.31,$6.69,$6.31,$6.65,$82.3 m,12669925,$3.8 bn
02/08/2024,$6.40,$6.43,$6.32,$6.32,$52.9 m,8303973,$3.7 bn
02/07/2024,$6.28,$6.46,$6.23,$6.39,$55 m,8711453,$3.7 bn
02/06/2024,$6.00,$6.42,$6.00,$6.28,$62.9 m,10153745,$3.6 bn
02/05/2024,$5.98,$6.09,$5.92,$6.01,$42.3 m,7031963,$3.5 bn
02/04/2024,$6.10,$6.13,$5.97,$5.98,$35.5 m,5870062,$3.6 bn
02/03/2024,$6.14,$6.28,$6.07,$6.11,$42.6 m,6925100,$3.6 bn
02/02/2024,$6.05,$6.26,$6.04,$6.13,$53.9 m,8783623,$3.6 bn
02/01/2024,$6.01,$6.08,$5.89,$6.05,$63.3 m,10558928,$3.5 bn
01/31/2024,$6.27,$6.31,$5.94,$6.00,$75.9 m,12400248,$3.6 bn
01/30/2024,$6.14,$6.33,$6.12,$6.25,$68 m,10951824,$3.7 bn
01/29/2024,$5.94,$6.14,$5.89,$6.14,$60.2 m,10010860,$3.5 bn
01/28/2024,$5.98,$6.07,$5.89,$5.94,$49.4 m,8250898,$3.5 bn
01/27/2024,$5.95,$6.00,$5.86,$5.99,$42.6 m,7176909,$3.5 bn
01/26/2024,$5.74,$5.96,$5.71,$5.95,$64.3 m,11007103,$3.4 bn
01/25/2024,$5.86,$5.86,$5.64,$5.75,$53.8 m,9312688,$3.4 bn
01/24/2024,$5.84,$5.90,$5.73,$5.87,$65.7 m,11315665,$3.4 bn
