Date,Open,High,Low,Close,Volume,Volume(DOGE),Market Cap
03/19/2024,$0.1433,$0.1449,$0.1258,$0.1287,$2.5 bn,18997678199,$19 bn
03/18/2024,$0.1539,$0.1539,$0.1403,$0.1435,$1.4 bn,9674907180,$21 bn
03/17/2024,$0.1435,$0.1577,$0.1377,$0.1544,$2.1 bn,14293089246,$21.3 bn
03/16/2024,$0.1636,$0.1648,$0.1387,$0.1424,$2 bn,12931694552,$22.2 bn
03/15/2024,$0.1774,$0.1808,$0.1542,$0.1632,$3.1 bn,18887029451,$23.6 bn
03/14/2024,$0.1691,$0.1903,$0.1656,$0.1773,$5.2 bn,29452116679,$25.5 bn
03/13/2024,$0.1679,$0.1739,$0.1658,$0.1691,$1.7 bn,9815399699,$24.3 bn
03/12/2024,$0.1827,$0.1829,$0.1601,$0.1681,$2.2 bn,12735457895,$24.4 bn
03/11/2024,$0.1697,$0.1824,$0.1620,$0.1819,$2.6 bn,15125395805,$24.8 bn
03/10/2024,$0.1793,$0.1793,$0.1664,$0.1697,$1.9 bn,10982259375,$24.9 bn
03/09/2024,$0.1645,$0.1838,$0.1642,$0.1787,$3.1 bn,17795848702,$24.6 bn
03/08/2024,$0.1572,$0.1754,$0.1554,$0.1649,$3.4 bn,20278079318,$23.8 bn
03/07/2024,$0.1579,$0.1617,$0.1472,$0.1579,$2.6 bn,16838669814,$22.1 bn
03/06/2024,$0.1536,$0.1781,$0.1472,$0.1578,$3.8 bn,23535702825,$23 bn
03/05/2024,$0.1824,$0.2054,$0.1316,$0.1539,$7.1 bn,40718417769,$25.1 bn
03/04/2024,$0.1535,$0.1844,$0.1487,$0.1824,$5.8 bn,34878639123,$23.8 bn
03/03/2024,$0.1421,$0.1557,$0.1298,$0.1539,$3.7 bn,26233610824,$20.3 bn
03/02/2024,$0.1391,$0.1496,$0.1369,$0.1419,$3.1 bn,22053731608,$20.3 bn
03/01/2024,$0.1174,$0.1448,$0.1173,$0.1394,$3.5 bn,27990299957,$18.1 bn
02/29/2024,$0.1159,$0.1346,$0.1119,$0.1171,$4 bn,32368348516,$17.9 bn
02/28/2024,$0.0976,$0.1215,$0.0946,$0.1163,$3.6 bn,35445190438,$14.6 bn
02/27/2024,$0.0892,$0.1000,$0.0886,$0.0977,$1.7 bn,17549355947,$13.5 bn
02/26/2024,$0.0861,$0.0900,$0.0842,$0.0893,$482.7 m,5596941742,$12.3 bn
02/25/2024,$0.0862,$0.0869,$0.0855,$0.0861,$257.2 m,2986576206,$12.3 bn
02/24/2024,$0.0846,$0.0863,$0.0840,$0.0861,$292.4 m,3424216380,$12.2 bn
02/23/2024,$0.0842,$0.0855,$0.0831,$0.0845,$366.8 m,4357306826,$12.1 bn
02/22/2024,$0.0845,$0.0854,$0.0832,$0.0841,$319.5 m,3780233950,$12.1 bn
02/21/2024,$0.0861,$0.0862,$0.0823,$0.0846,$389.7 m,4634337369,$12 bn
