Date,Open,High,Low,Close,Volume,Volume(BTC),Market Cap
03/19/2024,$67616,$68069,$61630,$61901,$68.3 bn,1061659,$1.3 T
03/18/2024,$68379,$68895,$66698,$67726,$48.6 bn,717096,$1.3 T
03/17/2024,$65488,$68791,$64859,$68494,$44.9 bn,669420,$1.3 T
03/16/2024,$69494,$69960,$65190,$65373,$45.4 bn,665984,$1.3 T
03/15/2024,$71432,$72305,$66207,$69458,$75.1 bn,1095756,$1.3 T
03/14/2024,$73055,$73687,$68872,$71453,$57.7 bn,799903,$1.4 T
03/13/2024,$71467,$73564,$71376,$73089,$47.7 bn,655538,$1.4 T
03/12/2024,$72151,$72660,$69296,$71465,$58.9 bn,822610,$1.4 T
03/11/2024,$68933,$72688,$67702,$72100,$62.9 bn,886549,$1.4 T
03/10/2024,$68370,$69858,$68266,$68949,$35.7 bn,515962,$1.4 T
03/09/2024,$68163,$68520,$67890,$68359,$24 bn,351316,$1.3 T
03/08/2024,$66813,$69686,$66478,$68181,$56.1 bn,829724,$1.3 T
03/07/2024,$66046,$67867,$65703,$66857,$44.1 bn,659694,$1.3 T
03/06/2024,$63792,$67497,$62905,$66099,$61.6 bn,935578,$1.3 T
03/05/2024,$68183,$68829,$60910,$63840,$89.6 bn,1353487,$1.3 T
03/04/2024,$63120,$68349,$63008,$68224,$66 bn,1010606,$1.3 T
03/03/2024,$61989,$63204,$61508,$63096,$26.2 bn,421796,$1.2 T
03/02/2024,$62378,$62382,$61643,$62000,$24 bn,387676,$1.2 T
03/01/2024,$61179,$62830,$60819,$62446,$38.5 bn,621611,$1.2 T
02/29/2024,$62367,$63474,$60557,$61274,$59.7 bn,961367,$1.2 T
02/28/2024,$57056,$63613,$56713,$62479,$77.9 bn,1314035,$1.2 T
02/27/2024,$54520,$57489,$54462,$57025,$46.6 bn,825755,$1.1 T
02/26/2024,$51734,$54836,$50956,$54468,$34.1 bn,651942,$1 T
02/25/2024,$51594,$51937,$51338,$51746,$15.9 bn,308244,$1 T
02/24/2024,$50745,$51653,$50608,$51588,$14.2 bn,277210,$1 T
02/23/2024,$51305,$51500,$50643,$50773,$21.6 bn,423583,$1 T
02/22/2024,$51823,$52001,$51018,$51329,$24.4 bn,472383,$1 T
02/21/2024,$52269,$52356,$50779,$51828,$28.5 bn,554522,$1 T
02/20/2024,$51765,$52914,$50838,$52288,$32.1 bn,618140,$1 T
02/19/2024,$52137,$52473,$51743,$51754,$21.6 bn,414691,$1 T
02/18/2024,$51753,$52324,$51313,$52099,$17.6 bn,339711,$1 T
02/17/2024,$52201,$52201,$50758,$51766,$24.1 bn,466777,$1 T
02/16/2024,$51905,$52448,$51715,$52123,$30.3 bn,581536,$1 T
02/15/2024,$51798,$52735,$51414,$51900,$37.5 bn,720723,$1 T
02/14/2024,$49690,$51947,$49339,$51787,$37 bn,728003,$997.6 bn
02/13/2024,$49945,$50191,$48464,$49694,$34.9 bn,703988,$973.9 bn
02/12/2024,$48283,$50232,$47808,$50000,$37.1 bn,761038,$957.1 bn
02/11/2024,$47752,$48466,$47641,$48235,$23.6 bn,489902,$944 bn
02/10/2024,$47146,$48021,$46933,$47756,$21 bn,442643,$928.5 bn
02/09/2024,$45316,$48039,$45287,$47115,$41 bn,877484,$917 bn
02/08/2024,$44356,$45527,$44353,$45307,$29.3 bn,652505,$880.3 bn
02/07/2024,$43102,$44311,$42825,$44305,$25.1 bn,579683,$848.5 bn
02/06/2024,$42697,$43334,$42580,$43102,$20.6 bn,480064,$842.3 bn
02/05/2024,$42600,$43486,$42350,$42692,$22.1 bn,516726,$839.2 bn
02/04/2024,$43005,$43096,$42511,$42611,$15.8 bn,369036,$841.2 bn
02/03/2024,$43189,$43343,$42964,$42990,$14 bn,325143,$845.4 bn
02/02/2024,$43080,$43384,$42661,$43179,$21.8 bn,507085,$844.6 bn
02/01/2024,$42619,$43247,$41946,$43054,$24.4 bn,575231,$832.7 bn
01/31/2024,$42954,$43702,$42355,$42624,$26.9 bn,626762,$841.7 bn
01/30/2024,$43274,$43775,$42828,$42927,$26.5 bn,610992,$851.5 bn
01/29/2024,$42032,$43291,$41879,$43263,$23.9 bn,562637,$832.9 bn
01/28/2024,$42135,$42757,$41743,$42027,$20.1 bn,475055,$828.6 bn
01/27/2024,$41837,$42167,$41495,$42114,$15.9 bn,380689,$820.3 bn
01/26/2024,$39945,$42183,$39859,$41874,$28.1 bn,685939,$802.7 bn
01/25/2024,$40094,$40263,$39638,$39936,$21.6 bn,539516,$783.5 bn
01/24/2024,$39874,$40448,$39581,$40113,$24.8 bn,619923,$782.8 bn
01/23/2024,$39559,$40150,$38607,$39854,$30.8 bn,780783,$773.2 bn
01/22/2024,$41585,$41667,$39539,$39544,$31.4 bn,771402,$798.5 bn
01/21/2024,$41703,$41862,$41558,$41574,$13.7 bn,328862,$817.1 bn
01/20/2024,$41648,$41817,$41480,$41692,$15.7 bn,378180,$815.6 bn
01/19/2024,$41285,$42104,$40386,$41630,$27.6 bn,669236,$809.3 bn
01/18/2024,$42738,$42898,$40765,$41288,$27.6 bn,652990,$828.2 bn
01/17/2024,$43154,$43181,$42302,$42743,$24.6 bn,576121,$837.4 bn
01/16/2024,$42524,$43506,$42232,$43148,$27.7 bn,646138,$841.5 bn
01/15/2024,$41757,$43298,$41753,$42579,$26.4 bn,619166,$835.1 bn
01/14/2024,$42844,$43026,$41842,$41845,$21.6 bn,504275,$838.2 bn
01/13/2024,$42804,$43232,$42477,$42855,$24.7 bn,575639,$840 bn
01/12/2024,$46368,$46425,$42005,$42880,$43.8 bn,970357,$883.9 bn
01/11/2024,$46629,$48859,$45735,$46400,$46.8 bn,1004830,$912.8 bn
01/10/2024,$46116,$47601,$44605,$46601,$44.9 bn,980488,$897.7 bn
01/09/2024,$46957,$47557,$45416,$46088,$35.1 bn,751597,$912.7 bn
01/08/2024,$43912,$47136,$43304,$46917,$37.3 bn,831152,$877.5 bn
01/07/2024,$43980,$44444,$43683,$43892,$16.3 bn,369937,$862.5 bn
01/06/2024,$44147,$44184,$43459,$43952,$14.2 bn,324538,$857.6 bn
01/05/2024,$44176,$44239,$43073,$44114,$28.2 bn,643486,$856.4 bn
01/04/2024,$42821,$44693,$42664,$44181,$27 bn,620945,$850.7 bn
01/03/2024,$44957,$45448,$41513,$42820,$51 bn,1161605,$859.5 bn
01/02/2024,$44169,$45809,$44142,$44942,$43.6 bn,963611,$885.1 bn
01/01/2024,$42264,$44134,$42240,$44131,$20.6 bn,481128,$837.5 bn
12/31/2023,$42246,$42795,$42066,$42233,$13.9 bn,328227,$830.1 bn
12/30/2023,$42046,$42557,$41605,$42246,$13.7 bn,326152,$824.2 bn
12/29/2023,$42622,$43015,$41690,$42056,$20.8 bn,490247,$830.1 bn
12/28/2023,$43400,$43694,$42356,$42630,$18.3 bn,426618,$840.2 bn
12/27/2023,$42509,$43615,$42188,$43398,$18.2 bn,424332,$838 bn
12/26/2023,$43461,$43515,$41871,$42501,$19.8 bn,464619,$835.8 bn
12/25/2023,$43002,$43695,$42807,$43461,$15.7 bn,361816,$846.9 bn
12/24/2023,$43712,$43915,$42875,$43028,$12.9 bn,295429,$853.7 bn
12/23/2023,$43979,$43980,$43332,$43725,$10.3 bn,236841,$854.8 bn
12/22/2023,$43866,$44275,$43440,$43977,$17.1 bn,390284,$857.1 bn
12/21/2023,$43631,$44190,$43363,$43859,$18.2 bn,415914,$855.7 bn
12/20/2023,$42262,$44219,$42254,$43635,$22.6 bn,522331,$844.9 bn
12/19/2023,$42627,$43332,$41842,$42276,$18.8 bn,440249,$835.8 bn
12/18/2023,$41404,$42681,$40622,$42646,$20 bn,484116,$810.3 bn
12/17/2023,$42266,$42351,$41345,$41414,$13.6 bn,323651,$821 bn
12/16/2023,$41954,$42671,$41767,$42259,$12.3 bn,290114,$827.5 bn
12/15/2023,$43005,$43075,$41749,$41934,$15.9 bn,373652,$831.2 bn
12/14/2023,$42890,$43322,$41940,$43013,$20.1 bn,469761,$838.5 bn
12/13/2023,$41453,$43310,$40723,$42898,$21.2 bn,509337,$814.5 bn
12/12/2023,$41244,$42029,$40752,$41489,$18.9 bn,455693,$809 bn
12/11/2023,$43770,$43788,$40393,$41251,$34.4 bn,820480,$816.6 bn
12/10/2023,$43731,$44000,$43639,$43756,$15.9 bn,363911,$853.2 bn
12/09/2023,$44206,$44333,$43695,$43708,$19.4 bn,441239,$857.2 bn
12/08/2023,$43283,$44632,$43134,$44172,$24.6 bn,563726,$850.1 bn
12/07/2023,$43649,$43932,$42932,$43267,$26.7 bn,614146,$846.9 bn
12/06/2023,$44059,$44231,$43480,$43619,$27.8 bn,633814,$854.2 bn
12/05/2023,$41888,$44344,$41468,$44101,$33 bn,778081,$825.3 bn
12/04/2023,$40010,$42286,$39998,$41961,$34.2 bn,825410,$806.6 bn
12/03/2023,$39441,$40119,$39302,$39972,$14.8 bn,374212,$770 bn
12/02/2023,$38693,$39635,$38644,$39453,$15 bn,385098,$757.3 bn
12/01/2023,$37730,$38875,$37625,$38674,$21.3 bn,554061,$747.8 bn
11/30/2023,$37846,$38130,$37539,$37707,$13.5 bn,358376,$735.6 bn
11/29/2023,$37819,$38310,$37628,$37835,$17.3 bn,457181,$738.8 bn
11/28/2023,$37247,$38270,$36905,$37809,$19.4 bn,519106,$728.9 bn
11/27/2023,$37456,$37546,$36788,$37255,$17.1 bn,460747,$723.5 bn
11/26/2023,$37777,$37794,$37191,$37479,$12.7 bn,336861,$732 bn
11/25/2023,$37715,$37844,$37605,$37769,$8.5 bn,224264,$735.1 bn
11/24/2023,$37290,$38361,$37264,$37710,$20.4 bn,543335,$732.8 bn
11/23/2023,$37433,$37635,$36943,$37289,$13 bn,347300,$726.6 bn
11/22/2023,$35741,$37826,$35741,$37435,$21.9 bn,596531,$713.8 bn
