Date,Open,High,Low,Close,Volume,Volume(BCH),Market Cap
03/19/2024,$405.85,$412.44,$357.03,$362.39,$713.9 m,1890853,$7.4 bn
03/18/2024,$406.01,$413.86,$390.01,$404.67,$484.3 m,1205162,$7.9 bn
03/17/2024,$394.12,$410.78,$375.59,$406.47,$516.3 m,1288560,$7.9 bn
03/16/2024,$420.56,$423.75,$388.87,$392.72,$538.7 m,1318471,$8 bn
03/15/2024,$445.20,$447.76,$395.94,$420.51,$775.2 m,1863547,$8.2 bn
03/14/2024,$446.06,$473.62,$427.42,$445.39,$958.6 m,2154459,$8.7 bn
03/13/2024,$437.53,$454.01,$428.51,$445.68,$688.9 m,1559575,$8.7 bn
03/12/2024,$451.06,$451.06,$418.88,$437.34,$702.3 m,1621986,$8.5 bn
03/11/2024,$426.49,$457.68,$412.26,$451.25,$822.7 m,1880871,$8.6 bn
03/10/2024,$435.55,$446.51,$418.93,$426.28,$563.7 m,1295786,$8.6 bn
03/09/2024,$440.21,$456.01,$430.83,$435.77,$598.8 m,1360848,$8.7 bn
03/08/2024,$434.45,$446.46,$426.50,$439.59,$723.5 m,1657556,$8.6 bn
03/07/2024,$417.50,$439.76,$401.17,$434.09,$754.4 m,1792326,$8.3 bn
03/06/2024,$404.70,$422.99,$387.73,$417.81,$810.5 m,1983571,$8 bn
03/05/2024,$477.01,$479.02,$378.14,$404.49,$1.3 bn,2933437,$8.6 bn
03/04/2024,$472.28,$477.16,$444.94,$472.03,$1.4 bn,3058475,$9 bn
03/03/2024,$502.66,$524.96,$462.12,$472.32,$2 bn,4102936,$9.5 bn
03/02/2024,$317.36,$503.16,$317.30,$502.74,$3 bn,7046616,$8.3 bn
03/01/2024,$299.52,$319.36,$299.36,$317.64,$443.2 m,1411099,$6.2 bn
02/29/2024,$297.88,$321.34,$295.08,$299.87,$670.3 m,2164979,$6.1 bn
02/28/2024,$293.92,$311.63,$290.93,$298.43,$652.2 m,2178758,$5.9 bn
02/27/2024,$275.83,$310.56,$275.70,$293.84,$772.3 m,2592593,$5.9 bn
02/26/2024,$268.19,$277.18,$263.48,$275.83,$267.6 m,996308,$5.3 bn
02/25/2024,$267.66,$270.05,$265.95,$268.18,$200.6 m,748657,$5.3 bn
02/24/2024,$265.62,$270.90,$264.28,$267.61,$195.4 m,729125,$5.3 bn
02/23/2024,$261.47,$267.09,$260.93,$265.33,$224.8 m,851657,$5.2 bn
02/22/2024,$263.62,$265.90,$260.62,$261.27,$225.2 m,855270,$5.2 bn
02/21/2024,$265.94,$266.38,$257.17,$263.74,$262.4 m,1001690,$5.1 bn
02/20/2024,$274.03,$274.08,$259.46,$266.07,$330.9 m,1234308,$5.3 bn
02/19/2024,$270.72,$273.96,$268.39,$273.96,$245.1 m,905858,$5.3 bn
02/18/2024,$267.90,$271.55,$266.04,$270.71,$208.3 m,775484,$5.3 bn
02/17/2024,$275.03,$275.03,$261.60,$267.96,$261.5 m,974672,$5.3 bn
02/16/2024,$270.89,$275.44,$266.99,$275.29,$375.2 m,1381161,$5.3 bn
02/15/2024,$280.92,$282.35,$268.16,$270.93,$417.7 m,1527239,$5.4 bn
02/14/2024,$270.79,$290.11,$265.86,$281.07,$457.9 m,1662332,$5.4 bn
02/13/2024,$280.77,$283.08,$268.62,$271.14,$338.1 m,1230958,$5.4 bn
02/12/2024,$277.46,$287.10,$267.84,$280.92,$513.4 m,1850039,$5.4 bn
02/11/2024,$247.82,$282.23,$247.16,$276.73,$684.4 m,2542148,$5.3 bn
02/10/2024,$250.60,$251.31,$244.24,$247.84,$185.3 m,748993,$4.9 bn
02/09/2024,$244.82,$253.42,$244.82,$250.36,$239.7 m,960833,$4.9 bn
02/08/2024,$240.82,$245.12,$240.64,$244.67,$200.6 m,825964,$4.8 bn
02/07/2024,$235.62,$241.01,$235.20,$240.70,$184.2 m,778031,$4.6 bn
02/06/2024,$236.08,$237.31,$235.15,$235.52,$189.7 m,803819,$4.6 bn
02/05/2024,$235.62,$238.09,$234.89,$236.06,$179.4 m,759365,$4.6 bn
02/04/2024,$241.03,$243.33,$234.88,$235.80,$201.7 m,843227,$4.7 bn
02/03/2024,$236.75,$241.77,$236.57,$239.69,$186.1 m,777739,$4.7 bn
02/02/2024,$237.04,$238.17,$235.39,$236.68,$167.3 m,705910,$4.7 bn
02/01/2024,$234.95,$237.40,$231.60,$237.00,$189.2 m,804105,$4.6 bn
01/31/2024,$238.09,$239.02,$234.14,$234.96,$209.2 m,883866,$4.6 bn
01/30/2024,$241.49,$243.82,$237.60,$237.85,$197 m,814535,$4.7 bn
01/29/2024,$237.24,$241.94,$235.26,$241.55,$193.7 m,812808,$4.7 bn
01/28/2024,$244.18,$245.59,$236.01,$237.23,$191.7 m,794584,$4.7 bn
01/27/2024,$242.16,$244.83,$239.95,$244.13,$206.9 m,852113,$4.8 bn
01/26/2024,$237.09,$242.97,$235.29,$242.33,$193.6 m,810048,$4.7 bn
01/25/2024,$236.62,$238.31,$235.26,$237.31,$203.2 m,858435,$4.6 bn
01/24/2024,$229.90,$238.14,$229.28,$236.90,$215 m,914653,$4.6 bn
01/23/2024,$235.64,$237.80,$220.15,$230.01,$270.8 m,1178688,$4.5 bn
01/22/2024,$237.96,$238.57,$232.06,$235.21,$275.9 m,1172658,$4.6 bn
01/21/2024,$239.38,$242.75,$237.90,$237.90,$175.7 m,731004,$4.7 bn
01/20/2024,$236.98,$240.15,$235.88,$239.34,$178.1 m,749319,$4.7 bn
01/19/2024,$238.26,$238.67,$228.84,$236.91,$229.6 m,973195,$4.6 bn
01/18/2024,$244.87,$245.09,$235.60,$238.29,$227.2 m,941497,$4.7 bn
01/17/2024,$251.80,$251.80,$242.81,$244.69,$241.9 m,980025,$4.8 bn
01/16/2024,$250.91,$256.31,$250.08,$251.81,$240.9 m,951264,$5 bn
01/15/2024,$246.53,$257.23,$246.49,$251.11,$248.2 m,982123,$5 bn
01/14/2024,$254.90,$258.88,$246.62,$246.62,$248.9 m,977848,$5 bn
01/13/2024,$260.23,$262.80,$253.04,$254.96,$297.3 m,1156390,$5 bn
01/12/2024,$277.08,$296.51,$254.48,$260.04,$618.4 m,2223860,$5.5 bn
01/11/2024,$254.94,$286.02,$251.96,$276.89,$580.6 m,2183863,$5.2 bn
01/10/2024,$245.08,$259.17,$236.51,$254.83,$332.9 m,1361098,$4.8 bn
01/09/2024,$254.28,$256.08,$241.97,$245.40,$341.8 m,1376318,$4.9 bn
01/08/2024,$234.54,$255.65,$226.94,$254.88,$383.5 m,1598566,$4.7 bn
01/07/2024,$238.17,$241.07,$233.27,$234.25,$224.3 m,940808,$4.7 bn
01/06/2024,$241.49,$244.26,$234.87,$238.03,$240.8 m,1007886,$4.7 bn
01/05/2024,$241.48,$242.12,$234.12,$241.29,$279.9 m,1178970,$4.6 bn
01/04/2024,$236.50,$241.69,$235.94,$241.47,$251.7 m,1054327,$4.7 bn
01/03/2024,$257.96,$264.63,$222.23,$236.42,$529.9 m,2135083,$4.9 bn
