Date,Open,High,Low,Close,Volume,Volume(ETC),Market Cap
03/19/2024,$31.43,$31.58,$27.27,$27.68,$607.1 m,20988580,$4.2 bn
03/18/2024,$31.90,$31.96,$30.38,$31.27,$461.2 m,14755609,$4.5 bn
03/17/2024,$30.74,$32.32,$29.67,$31.84,$540.1 m,17344397,$4.5 bn
03/16/2024,$33.22,$33.53,$30.23,$30.61,$520.3 m,16142705,$4.7 bn
03/15/2024,$35.14,$35.52,$31.42,$33.16,$744 m,22538029,$4.8 bn
03/14/2024,$36.56,$36.67,$33.92,$35.14,$611.9 m,17174633,$5.1 bn
03/13/2024,$36.88,$37.58,$36.01,$36.56,$513.8 m,13971071,$5.3 bn
03/12/2024,$38.06,$38.15,$35.36,$36.87,$561.2 m,15250175,$5.3 bn
03/11/2024,$36.13,$39.13,$34.54,$37.99,$866.1 m,23504292,$5.3 bn
03/10/2024,$37.27,$37.59,$35.56,$36.13,$558.2 m,15212525,$5.3 bn
03/09/2024,$38.07,$39.18,$37.08,$37.27,$607.6 m,15939488,$5.5 bn
03/08/2024,$37.97,$39.26,$37.15,$38.04,$783.8 m,20380624,$5.6 bn
03/07/2024,$37.42,$38.45,$36.16,$38.12,$717.6 m,19204459,$5.4 bn
03/06/2024,$34.19,$38.21,$33.07,$37.42,$1.1 bn,30255461,$5.3 bn
03/05/2024,$36.28,$39.25,$31.61,$34.22,$1.7 bn,47004318,$5.3 bn
03/04/2024,$33.76,$36.67,$33.42,$36.14,$949.6 m,27555154,$5 bn
03/03/2024,$34.42,$35.68,$32.89,$33.72,$1 bn,29663496,$4.9 bn
03/02/2024,$30.54,$34.55,$30.54,$34.36,$1.2 bn,35012837,$4.8 bn
03/01/2024,$28.84,$30.49,$28.83,$30.49,$477 m,16026991,$4.3 bn
02/29/2024,$29.51,$31.48,$28.41,$28.84,$885.5 m,29105377,$4.4 bn
02/28/2024,$28.01,$30.51,$27.75,$29.77,$843.7 m,29623381,$4.1 bn
02/27/2024,$27.76,$28.59,$27.48,$28.05,$534.6 m,19092183,$4 bn
02/26/2024,$27.10,$27.87,$26.62,$27.75,$502.4 m,18467232,$3.9 bn
02/25/2024,$26.12,$27.14,$25.99,$27.14,$354.8 m,13390800,$3.8 bn
02/24/2024,$25.55,$26.23,$25.29,$26.11,$246.4 m,9529375,$3.7 bn
02/23/2024,$25.90,$26.07,$25.31,$25.56,$280.8 m,10912748,$3.7 bn
02/22/2024,$26.15,$26.46,$25.59,$25.91,$305.6 m,11737371,$3.8 bn
02/21/2024,$26.97,$27.29,$25.43,$26.16,$384.9 m,14693667,$3.8 bn
02/20/2024,$27.40,$27.67,$26.11,$27.07,$475.4 m,17663655,$3.9 bn
02/19/2024,$26.53,$27.70,$26.29,$27.35,$403.7 m,15032133,$3.9 bn
02/18/2024,$26.09,$26.80,$25.78,$26.56,$297.2 m,11357474,$3.8 bn
02/17/2024,$26.69,$26.75,$25.54,$26.10,$327.3 m,12472238,$3.8 bn
02/16/2024,$26.84,$27.35,$26.34,$26.70,$407.8 m,15195933,$3.9 bn
02/15/2024,$26.74,$27.39,$26.42,$26.71,$473.3 m,17685603,$3.9 bn
02/14/2024,$26.13,$27.12,$25.69,$26.80,$393.8 m,14877171,$3.8 bn
02/13/2024,$26.96,$27.21,$25.75,$26.25,$389.7 m,14690396,$3.8 bn
02/12/2024,$25.83,$26.96,$25.46,$26.86,$348 m,13397773,$3.8 bn
02/11/2024,$25.84,$26.22,$25.42,$25.84,$279.9 m,10839848,$3.7 bn
02/10/2024,$25.99,$26.18,$25.33,$25.74,$274.8 m,10666692,$3.7 bn
02/09/2024,$25.62,$26.51,$25.42,$26.10,$392.6 m,15128524,$3.8 bn
02/08/2024,$25.20,$25.76,$25.01,$25.61,$306.3 m,12112575,$3.7 bn
02/07/2024,$24.78,$25.32,$24.34,$25.19,$297.2 m,11995541,$3.6 bn
02/06/2024,$24.30,$24.89,$24.18,$24.77,$279.1 m,11376291,$3.5 bn
02/05/2024,$24.96,$25.10,$24.10,$24.27,$310.4 m,12596946,$3.6 bn
02/04/2024,$24.74,$25.59,$24.64,$24.96,$293.9 m,11683225,$3.6 bn
02/03/2024,$25.05,$25.66,$24.50,$24.74,$293.9 m,11733216,$3.6 bn
02/02/2024,$24.43,$25.34,$24.39,$25.08,$314 m,12648342,$3.6 bn
02/01/2024,$24.34,$24.85,$23.60,$24.43,$356 m,14790207,$3.5 bn
01/31/2024,$25.36,$25.71,$24.22,$24.34,$440.7 m,17624757,$3.6 bn
01/30/2024,$24.71,$26.21,$24.56,$25.26,$481.5 m,19163818,$3.6 bn
