Date,Open,High,Low,Close,Volume,Volume(DOT),Market Cap
03/19/2024,$9.90,$9.97,$8.61,$8.76,$537.5 m,58722969,$12 bn
03/18/2024,$10.06,$10.43,$9.63,$9.90,$418.3 m,41826146,$13.1 bn
03/17/2024,$9.73,$10.24,$9.25,$10.09,$401 m,40630367,$12.9 bn
03/16/2024,$10.77,$10.87,$9.55,$9.70,$513 m,49714698,$13.5 bn
03/15/2024,$11.58,$11.69,$10.10,$10.84,$831 m,77940630,$13.9 bn
03/14/2024,$11.32,$11.86,$10.79,$11.54,$868.6 m,76669966,$14.8 bn
03/13/2024,$10.72,$11.30,$10.66,$11.30,$524.2 m,47913047,$14.3 bn
03/12/2024,$11.04,$11.13,$10.20,$10.73,$510 m,47600093,$14 bn
03/11/2024,$10.26,$11.23,$9.92,$11.03,$670.5 m,62605233,$14 bn
03/10/2024,$10.50,$10.56,$10.01,$10.27,$350.3 m,33825661,$13.5 bn
03/09/2024,$10.63,$10.94,$10.43,$10.50,$401 m,37676834,$13.9 bn
03/08/2024,$10.43,$10.68,$10.01,$10.64,$556 m,53281263,$13.6 bn
03/07/2024,$10.54,$10.98,$10.26,$10.41,$527.9 m,50463186,$13.7 bn
03/06/2024,$9.34,$10.55,$8.95,$10.52,$742.2 m,74986339,$12.9 bn
03/05/2024,$9.83,$10.74,$8.76,$9.32,$1.1 bn,109808323,$13.1 bn
03/04/2024,$9.77,$10.28,$9.65,$9.89,$777.7 m,78503234,$12.9 bn
03/03/2024,$9.45,$9.88,$8.80,$9.79,$622.2 m,66365018,$12.3 bn
03/02/2024,$8.67,$9.44,$8.62,$9.43,$520.6 m,57672532,$11.8 bn
03/01/2024,$8.27,$8.67,$8.27,$8.67,$332.3 m,39494662,$11 bn
02/29/2024,$8.34,$8.90,$8.07,$8.25,$474.4 m,55343260,$11.2 bn
02/28/2024,$8.36,$8.71,$7.98,$8.33,$550.8 m,65915241,$10.9 bn
02/27/2024,$8.11,$8.47,$8.04,$8.39,$396.1 m,48545517,$10.7 bn
02/26/2024,$7.91,$8.11,$7.59,$8.11,$291.9 m,37155032,$10.3 bn
02/25/2024,$7.81,$7.94,$7.69,$7.92,$182.5 m,23477991,$10.2 bn
02/24/2024,$7.60,$7.88,$7.44,$7.81,$231.3 m,29877629,$10.1 bn
02/23/2024,$7.49,$7.64,$7.29,$7.56,$247.9 m,33311813,$9.7 bn
02/22/2024,$7.47,$7.67,$7.29,$7.49,$224.1 m,29877201,$9.8 bn
02/21/2024,$7.72,$7.72,$7.27,$7.47,$261.1 m,35095414,$9.7 bn
02/20/2024,$8.06,$8.11,$7.49,$7.73,$351.1 m,45140710,$10.2 bn
02/19/2024,$7.89,$8.13,$7.68,$8.03,$315.8 m,40387008,$10.2 bn
02/18/2024,$7.74,$7.91,$7.69,$7.89,$194.4 m,24974954,$10.2 bn
02/17/2024,$7.64,$7.75,$7.37,$7.71,$184.8 m,24396629,$9.9 bn
02/16/2024,$7.78,$7.85,$7.56,$7.65,$213.2 m,27615675,$10.1 bn
02/15/2024,$7.65,$7.94,$7.55,$7.77,$307.6 m,39797260,$10.1 bn
02/14/2024,$7.35,$7.70,$7.28,$7.65,$272.2 m,35939880,$9.9 bn
02/13/2024,$7.35,$7.45,$7.16,$7.36,$222.6 m,30399414,$9.6 bn
02/12/2024,$7.09,$7.37,$6.99,$7.34,$229.5 m,32098201,$9.3 bn
02/11/2024,$7.19,$7.33,$7.08,$7.10,$154.9 m,21466855,$9.4 bn
02/10/2024,$7.21,$7.29,$7.07,$7.20,$139.8 m,19472939,$9.4 bn
02/09/2024,$7.01,$7.31,$6.96,$7.19,$240 m,33692961,$9.3 bn
02/08/2024,$6.95,$7.10,$6.87,$7.01,$203 m,29099172,$9.1 bn
02/07/2024,$6.81,$6.96,$6.67,$6.94,$154.6 m,22730663,$8.9 bn
02/06/2024,$6.72,$6.83,$6.66,$6.81,$136.3 m,20211205,$8.8 bn
02/05/2024,$6.67,$6.97,$6.60,$6.73,$149 m,21868819,$8.9 bn
02/04/2024,$6.82,$6.82,$6.66,$6.67,$88.2 m,13036965,$8.8 bn
02/03/2024,$6.95,$7.00,$6.82,$6.83,$99.2 m,14364619,$9 bn
02/02/2024,$6.79,$7.02,$6.77,$6.94,$147.4 m,21422819,$9 bn
02/01/2024,$6.66,$6.81,$6.57,$6.79,$149 m,22244567,$8.8 bn
01/31/2024,$6.85,$6.88,$6.60,$6.66,$182.3 m,26923246,$8.9 bn
01/30/2024,$7.02,$7.07,$6.83,$6.84,$203.9 m,29137067,$9.1 bn
01/29/2024,$6.84,$7.29,$6.72,$7.03,$316.7 m,45759992,$9 bn
01/28/2024,$6.66,$6.84,$6.58,$6.84,$169.8 m,25350260,$8.8 bn
01/27/2024,$6.67,$6.74,$6.54,$6.67,$132.6 m,19935210,$8.7 bn
01/26/2024,$6.42,$6.72,$6.37,$6.67,$174.4 m,26686747,$8.5 bn
01/25/2024,$6.45,$6.56,$6.36,$6.44,$146.1 m,22639225,$8.4 bn
01/24/2024,$6.36,$6.53,$6.27,$6.46,$173.2 m,27132614,$8.3 bn
01/23/2024,$6.34,$6.45,$6.00,$6.36,$240 m,38351406,$8.2 bn
01/22/2024,$6.82,$6.84,$6.33,$6.34,$243 m,36820411,$8.6 bn
01/21/2024,$6.90,$6.97,$6.81,$6.81,$104.4 m,15132835,$9 bn
01/20/2024,$6.87,$6.95,$6.78,$6.90,$127.7 m,18621990,$9 bn
01/19/2024,$7.02,$7.05,$6.60,$6.88,$210.9 m,30538604,$9 bn
01/18/2024,$7.35,$7.38,$6.87,$7.01,$220.6 m,30699601,$9.4 bn
01/17/2024,$7.50,$7.59,$7.27,$7.34,$169.9 m,22940787,$9.7 bn
01/16/2024,$7.51,$7.67,$7.35,$7.49,$180.1 m,23919049,$9.8 bn
01/15/2024,$7.32,$7.67,$7.32,$7.52,$177.2 m,23439296,$9.9 bn
01/14/2024,$7.61,$7.69,$7.33,$7.33,$151.9 m,20052889,$9.9 bn
01/13/2024,$7.59,$7.74,$7.41,$7.62,$201.3 m,26343448,$10 bn
01/12/2024,$8.16,$8.21,$7.41,$7.57,$313.6 m,39369537,$10.4 bn
01/11/2024,$7.97,$8.57,$7.87,$8.16,$491 m,59694163,$10.8 bn
01/10/2024,$7.11,$8.07,$6.86,$7.97,$386.5 m,53662532,$9.4 bn
01/09/2024,$7.47,$7.52,$6.92,$7.12,$253.7 m,34960855,$9.5 bn
01/08/2024,$6.91,$7.50,$6.57,$7.47,$305 m,42981054,$9.3 bn
01/07/2024,$7.14,$7.32,$6.84,$6.90,$174.2 m,24264181,$9.4 bn
01/06/2024,$7.45,$7.45,$6.99,$7.14,$187.9 m,26030450,$9.4 bn
01/05/2024,$7.89,$7.95,$7.25,$7.45,$282.6 m,37521100,$9.8 bn
01/04/2024,$7.63,$7.99,$7.51,$7.89,$271.3 m,35065608,$10.1 bn
01/03/2024,$8.42,$8.56,$6.76,$7.64,$603.2 m,74847143,$10.5 bn
01/02/2024,$8.59,$8.77,$8.35,$8.41,$328.5 m,38313013,$11.2 bn
01/01/2024,$8.21,$8.62,$8.09,$8.60,$238.1 m,28655824,$10.9 bn
12/31/2023,$8.38,$8.62,$8.13,$8.19,$243.4 m,29036968,$11 bn
12/30/2023,$8.28,$8.47,$8.12,$8.38,$198.8 m,23876755,$10.9 bn
12/29/2023,$8.45,$8.66,$8.13,$8.29,$392.8 m,46829313,$11 bn
12/28/2023,$8.67,$8.90,$8.31,$8.43,$354.5 m,41505464,$11.2 bn
12/27/2023,$8.80,$8.99,$8.43,$8.69,$394 m,44997532,$11.4 bn
12/26/2023,$9.26,$9.44,$8.49,$8.82,$576.5 m,63982636,$11.8 bn
12/25/2023,$8.64,$9.37,$8.54,$9.26,$804.9 m,88872964,$11.8 bn
12/24/2023,$8.37,$9.13,$8.34,$8.63,$886.9 m,100949717,$11.5 bn
12/23/2023,$7.95,$8.43,$7.60,$8.34,$392.3 m,49889564,$10.3 bn
12/22/2023,$8.43,$8.52,$7.87,$7.96,$520.5 m,64479222,$10.6 bn
12/21/2023,$6.94,$8.38,$6.92,$8.38,$845.8 m,111113385,$9.9 bn
12/20/2023,$6.72,$7.12,$6.64,$6.94,$248.6 m,35933584,$9 bn
12/19/2023,$6.88,$7.03,$6.63,$6.71,$179.7 m,26288844,$8.9 bn
12/18/2023,$6.79,$6.88,$6.40,$6.88,$237.2 m,35490695,$8.7 bn
12/17/2023,$7.10,$7.16,$6.76,$6.79,$192.9 m,27631297,$9.1 bn
12/16/2023,$6.97,$7.34,$6.91,$7.09,$216.2 m,30323751,$9.3 bn
12/15/2023,$7.50,$7.55,$6.95,$6.95,$299.5 m,41362450,$9.5 bn
12/14/2023,$7.59,$7.73,$7.13,$7.51,$392 m,52981014,$9.7 bn
12/13/2023,$7.11,$7.62,$6.66,$7.61,$375.9 m,53818196,$9.1 bn
12/12/2023,$6.71,$7.30,$6.70,$7.13,$420.5 m,59820811,$8.8 bn
12/11/2023,$7.35,$7.36,$6.41,$6.70,$413.9 m,61530945,$8.5 bn
12/10/2023,$7.13,$7.35,$6.97,$7.34,$282.1 m,39192390,$9.1 bn
12/09/2023,$6.83,$7.67,$6.83,$7.11,$593.8 m,80725699,$9.3 bn
12/08/2023,$6.24,$6.89,$6.17,$6.83,$378.3 m,58684348,$8.1 bn
12/07/2023,$6.04,$6.27,$5.92,$6.23,$270.1 m,44265746,$7.7 bn
12/06/2023,$5.90,$6.19,$5.79,$6.03,$325.5 m,54378055,$7.5 bn
12/05/2023,$5.62,$5.91,$5.51,$5.90,$309.8 m,54866927,$7.1 bn
12/04/2023,$5.54,$5.70,$5.49,$5.62,$249.4 m,44587169,$7 bn
12/03/2023,$5.55,$5.60,$5.43,$5.54,$141 m,25587060,$6.9 bn
12/02/2023,$5.47,$5.60,$5.45,$5.56,$123.5 m,22435826,$6.9 bn
12/01/2023,$5.47,$5.52,$5.37,$5.47,$144.1 m,26432836,$6.9 bn
11/30/2023,$5.15,$5.55,$5.12,$5.46,$266.7 m,50587357,$6.6 bn
11/29/2023,$5.27,$5.37,$5.15,$5.16,$170.4 m,32442915,$6.6 bn
11/28/2023,$5.15,$5.30,$5.11,$5.27,$180.3 m,34632413,$6.6 bn
11/27/2023,$5.33,$5.37,$5.04,$5.15,$196.5 m,37847884,$6.5 bn
11/26/2023,$5.33,$5.40,$5.20,$5.32,$156.6 m,29449717,$6.7 bn
11/25/2023,$5.24,$5.38,$5.22,$5.33,$122.7 m,23110693,$6.7 bn
11/24/2023,$5.14,$5.29,$5.12,$5.24,$182.8 m,35100276,$6.6 bn
11/23/2023,$5.17,$5.22,$5.09,$5.14,$126.7 m,24583535,$6.5 bn
11/22/2023,$4.88,$5.28,$4.88,$5.17,$226.3 m,44447906,$6.4 bn
11/21/2023,$5.30,$5.32,$4.86,$4.88,$261.7 m,50791475,$6.5 bn
