Date,Open,High,Low,Close,Volume,Volume(SHIB),Market Cap
03/17/2024,$0.0000256,$0.0000300,$0.0000245,$0.0000296,$84.3 m,3099791087673,$16 bn
03/16/2024,$0.0000301,$0.0000302,$0.0000240,$0.0000253,$69.6 m,2517310937709,$16.3 bn
03/15/2024,$0.0000323,$0.0000327,$0.0000279,$0.0000299,$77 m,2592213116263,$17.5 bn
03/14/2024,$0.0000321,$0.0000344,$0.0000308,$0.0000323,$82.9 m,2541422329308,$19.2 bn
03/13/2024,$0.0000322,$0.0000334,$0.0000314,$0.0000320,$86 m,2657420128128,$19.1 bn
03/12/2024,$0.0000341,$0.0000348,$0.0000306,$0.0000323,$85 m,2611821344919,$19.2 bn
03/11/2024,$0.0000328,$0.0000351,$0.0000308,$0.0000340,$82.4 m,2496541819480,$19.5 bn
03/10/2024,$0.0000351,$0.0000353,$0.0000321,$0.0000328,$95.4 m,2809607262941,$20 bn
03/09/2024,$0.0000352,$0.0000368,$0.0000340,$0.0000351,$101.4 m,2873516869466,$20.8 bn
03/08/2024,$0.0000314,$0.0000380,$0.0000311,$0.0000353,$93.7 m,2710878089723,$20.4 bn
03/07/2024,$0.0000339,$0.0000345,$0.0000296,$0.0000315,$82.7 m,2611461455707,$18.7 bn
03/06/2024,$0.0000356,$0.0000392,$0.0000308,$0.0000334,$93.3 m,2690791220224,$20.4 bn
03/05/2024,$0.0000371,$0.0000453,$0.0000270,$0.0000360,$71.2 m,1884725805685,$22.3 bn
03/04/2024,$0.0000226,$0.0000360,$0.0000217,$0.0000359,$96.7 m,3462217165129,$16.5 bn
03/03/2024,$0.0000227,$0.0000235,$0.0000199,$0.0000225,$55.7 m,2538442894726,$12.9 bn
03/02/2024,$0.0000168,$0.0000233,$0.0000168,$0.0000226,$63.1 m,2993910927489,$12.4 bn
03/01/2024,$0.0000126,$0.0000170,$0.0000125,$0.0000169,$38.6 m,2796543403135,$8.1 bn
02/29/2024,$0.0000117,$0.0000146,$0.0000115,$0.0000125,$33.4 m,2531476653946,$7.8 bn
02/28/2024,$0.0000109,$0.0000124,$0.0000107,$0.0000117,$29.7 m,2662107408133,$6.6 bn
02/27/2024,$0.0000101,$0.0000114,$0.0000100,$0.0000109,$31.1 m,2964915841799,$6.2 bn
02/26/2024,$0.0000097,$0.0000102,$0.0000095,$0.0000101,$24.2 m,2488736610001,$5.7 bn
02/25/2024,$0.0000096,$0.0000097,$0.0000096,$0.0000097,$19.5 m,2026552517452,$5.7 bn
02/24/2024,$0.0000095,$0.0000097,$0.0000094,$0.0000096,$19.3 m,2018257587090,$5.6 bn
02/23/2024,$0.0000096,$0.0000096,$0.0000094,$0.0000095,$18.4 m,1929510890263,$5.6 bn
02/22/2024,$0.0000096,$0.0000097,$0.0000094,$0.0000095,$18.5 m,1933686423810,$5.7 bn
02/21/2024,$0.0000098,$0.0000098,$0.0000093,$0.0000096,$23 m,2415812926546,$5.6 bn
