Date,Open,High,Low,Close,Volume,Volume(ADA),Market Cap
03/19/2024,$0.6603,$0.6648,$0.5806,$0.5862,$947.9 m,1533842646,$21.8 bn
03/18/2024,$0.6792,$0.6966,$0.6445,$0.6607,$670.5 m,1003622503,$23.6 bn
03/17/2024,$0.6624,$0.6872,$0.6327,$0.6816,$696.9 m,1037502061,$23.7 bn
03/16/2024,$0.7261,$0.7332,$0.6532,$0.6594,$782 m,1111086133,$24.9 bn
03/15/2024,$0.7514,$0.7624,$0.6782,$0.7260,$1.2 bn,1693917500,$25.3 bn
03/14/2024,$0.7638,$0.8074,$0.7190,$0.7505,$1.3 bn,1766894772,$26.9 bn
03/13/2024,$0.7483,$0.7719,$0.7368,$0.7641,$700 m,928226581,$26.6 bn
03/12/2024,$0.7740,$0.7740,$0.7143,$0.7481,$839 m,1120873100,$26.4 bn
03/11/2024,$0.7162,$0.7863,$0.6921,$0.7737,$1.2 bn,1559402222,$26.2 bn
03/10/2024,$0.7419,$0.7435,$0.7033,$0.7171,$525.2 m,722350909,$25.7 bn
03/09/2024,$0.7226,$0.7454,$0.7212,$0.7421,$505.5 m,688547346,$25.9 bn
03/08/2024,$0.7448,$0.7538,$0.7029,$0.7232,$772 m,1055704584,$25.8 bn
03/07/2024,$0.7353,$0.7540,$0.7193,$0.7433,$784.8 m,1060964820,$26.1 bn
03/06/2024,$0.6927,$0.7535,$0.6669,$0.7342,$1.1 bn,1471070338,$25.3 bn
03/05/2024,$0.7680,$0.7799,$0.6185,$0.6921,$1.8 bn,2399698620,$26.3 bn
03/04/2024,$0.7281,$0.7967,$0.7251,$0.7700,$1.4 bn,1818676448,$27.2 bn
03/03/2024,$0.7415,$0.7415,$0.7028,$0.7279,$780.6 m,1072261091,$25.7 bn
03/02/2024,$0.7186,$0.7619,$0.7186,$0.7406,$1.1 bn,1448753792,$26.2 bn
03/01/2024,$0.6551,$0.7196,$0.6540,$0.7196,$831.4 m,1219816342,$24.1 bn
