Date,Open,High,Low,Close,Volume,Volume(DASH),Market Cap
03/19/2024,$35.49,$35.76,$31.61,$32.68,$76.5 m,2292977,$390 m
03/18/2024,$37.10,$37.41,$34.63,$35.52,$57.6 m,1599283,$421.5 m
03/17/2024,$36.20,$37.64,$34.40,$37.19,$70.4 m,1923318,$427.9 m
03/16/2024,$38.92,$39.40,$35.53,$36.08,$73.2 m,1926534,$444.5 m
03/15/2024,$40.71,$41.22,$36.22,$38.82,$105 m,2736225,$448.9 m
03/14/2024,$42.88,$42.88,$39.02,$40.63,$92.5 m,2241228,$482.5 m
03/13/2024,$42.56,$44.02,$41.97,$42.84,$82.7 m,1931947,$500.5 m
03/12/2024,$43.15,$43.76,$40.45,$42.50,$100.5 m,2369212,$496.3 m
03/11/2024,$40.28,$44.09,$38.50,$43.09,$119.6 m,2882141,$485.2 m
03/10/2024,$40.44,$41.24,$39.43,$40.24,$89.7 m,2222937,$471.8 m
03/09/2024,$40.51,$40.95,$39.79,$40.45,$69.1 m,1713408,$472 m
03/08/2024,$39.26,$40.81,$37.52,$40.53,$94.5 m,2407823,$459.2 m
03/07/2024,$38.62,$39.79,$38.08,$39.18,$87 m,2228897,$456.5 m
03/06/2024,$35.50,$38.94,$34.82,$38.77,$97.9 m,2617835,$437.4 m
03/05/2024,$39.19,$41.10,$33.75,$35.45,$128.5 m,3313978,$453.3 m
03/04/2024,$38.04,$40.07,$37.72,$39.22,$98.9 m,2541803,$455 m
03/03/2024,$39.97,$39.97,$35.95,$38.05,$93.9 m,2476366,$443.5 m
03/02/2024,$33.94,$40.42,$33.90,$39.85,$129.6 m,3616727,$418.4 m
03/01/2024,$32.07,$34.17,$32.07,$34.10,$68.1 m,2060292,$386.2 m
02/29/2024,$31.19,$33.75,$31.06,$32.01,$88 m,2693956,$381.4 m
02/28/2024,$32.10,$32.92,$29.66,$31.17,$79.8 m,2506752,$371.6 m
02/27/2024,$31.82,$32.43,$31.64,$32.09,$67.7 m,2111390,$374.4 m
02/26/2024,$30.92,$31.83,$30.00,$31.80,$58.4 m,1884746,$361.5 m
02/25/2024,$30.45,$30.96,$29.78,$30.95,$50.6 m,1677249,$352.4 m
02/24/2024,$29.50,$30.66,$29.13,$30.47,$49.3 m,1635921,$352.2 m
02/23/2024,$29.69,$29.80,$28.98,$29.46,$45.7 m,1556007,$343.2 m
02/22/2024,$29.41,$30.86,$28.88,$29.64,$54.5 m,1823414,$349 m
02/21/2024,$29.83,$30.08,$28.42,$29.40,$48.2 m,1651253,$340.8 m
02/20/2024,$30.14,$30.75,$28.91,$29.86,$60.2 m,2012416,$349.5 m
02/19/2024,$29.80,$30.36,$29.64,$30.12,$50.3 m,1679093,$350 m
02/18/2024,$30.25,$30.52,$29.58,$29.76,$48.8 m,1632648,$348.9 m
02/17/2024,$29.04,$30.23,$28.52,$30.23,$54.8 m,1877693,$340.4 m
02/16/2024,$29.02,$29.38,$28.41,$29.02,$51.9 m,1788778,$338.2 m
02/15/2024,$28.08,$29.08,$28.08,$29.01,$53.1 m,1854322,$333.9 m
02/14/2024,$27.94,$28.49,$27.52,$28.08,$47.3 m,1689413,$326.4 m
02/13/2024,$28.31,$28.44,$27.54,$27.92,$45.9 m,1636019,$327.2 m
02/12/2024,$27.50,$28.38,$27.07,$28.29,$43.3 m,1563179,$323.2 m
02/11/2024,$27.52,$28.28,$27.29,$27.50,$43.4 m,1563557,$323.3 m
02/10/2024,$27.53,$27.65,$27.06,$27.50,$39.1 m,1428240,$318.9 m
02/09/2024,$26.87,$27.66,$26.86,$27.46,$45.8 m,1680142,$317.4 m
02/08/2024,$26.97,$27.06,$26.59,$26.89,$42.3 m,1580510,$312 m
02/07/2024,$26.37,$26.97,$26.06,$26.97,$45.2 m,1705953,$308.6 m
02/06/2024,$27.25,$27.46,$26.41,$26.43,$38 m,1398382,$316.2 m
02/05/2024,$26.78,$27.48,$26.58,$27.25,$39.9 m,1473095,$315.7 m
02/04/2024,$27.68,$27.71,$26.69,$26.77,$35 m,1282072,$317.6 m
02/03/2024,$27.63,$27.88,$27.31,$27.71,$36.2 m,1313134,$321 m
02/02/2024,$27.25,$27.62,$27.00,$27.62,$34.8 m,1274848,$317.9 m
02/01/2024,$26.67,$27.34,$26.25,$27.26,$41.9 m,1559162,$312.7 m
01/31/2024,$27.53,$27.70,$26.37,$26.63,$42.3 m,1556953,$316.1 m
01/30/2024,$28.13,$28.64,$27.48,$27.52,$41.1 m,1462010,$327.6 m
01/29/2024,$27.59,$28.22,$27.25,$28.11,$37.3 m,1341952,$323.7 m
01/28/2024,$28.07,$28.56,$27.47,$27.63,$36.4 m,1301796,$325.9 m
01/27/2024,$27.77,$28.10,$27.56,$28.07,$39.4 m,1414920,$324.1 m
01/26/2024,$27.03,$28.10,$26.91,$27.75,$38.9 m,1413284,$320.5 m
01/25/2024,$27.13,$27.17,$26.46,$27.04,$45 m,1681471,$311.7 m
01/24/2024,$26.90,$27.63,$26.57,$27.19,$41.9 m,1550815,$314.4 m
01/23/2024,$27.61,$28.05,$25.89,$26.91,$48.2 m,1788026,$313.8 m
01/22/2024,$28.63,$28.80,$27.49,$27.59,$50.2 m,1785121,$326.8 m
01/21/2024,$28.61,$29.52,$28.55,$28.55,$43.8 m,1513477,$336.4 m
01/20/2024,$27.53,$28.70,$27.36,$28.59,$46 m,1646165,$324.9 m
01/19/2024,$27.96,$28.00,$26.09,$27.52,$55.2 m,2029211,$316.4 m
01/18/2024,$28.96,$29.11,$27.61,$27.95,$53.3 m,1867085,$331.7 m
01/17/2024,$29.49,$29.59,$28.84,$28.92,$52 m,1782032,$339.1 m
01/16/2024,$29.21,$29.75,$29.07,$29.49,$49 m,1664792,$342.3 m
01/15/2024,$28.42,$29.56,$28.41,$29.25,$57.1 m,1959467,$338.5 m
01/14/2024,$29.54,$29.64,$28.42,$28.43,$53.1 m,1817448,$339.5 m
01/13/2024,$29.00,$29.89,$28.26,$29.55,$55.9 m,1920972,$338.3 m
01/12/2024,$30.07,$31.05,$28.26,$28.96,$64.5 m,2146236,$349 m
01/11/2024,$29.51,$30.74,$29.40,$30.03,$72.8 m,2429457,$348.4 m
01/10/2024,$27.67,$29.91,$27.40,$29.48,$80.2 m,2859199,$326 m
01/09/2024,$28.45,$28.66,$26.73,$27.67,$64.6 m,2305883,$324.4 m
01/08/2024,$27.67,$28.50,$25.58,$28.45,$80.1 m,2932430,$316.3 m
01/07/2024,$28.90,$29.43,$27.47,$27.63,$63.5 m,2202538,$333.8 m
01/06/2024,$29.51,$29.51,$27.86,$28.91,$62.6 m,2179767,$332.7 m
01/05/2024,$30.03,$30.14,$28.44,$29.52,$80 m,2733925,$338.9 m
01/04/2024,$29.09,$30.53,$28.69,$30.01,$80.6 m,2716861,$343.5 m
01/03/2024,$32.81,$33.46,$27.36,$29.08,$116.2 m,3726305,$361.1 m
01/02/2024,$33.34,$33.87,$32.50,$32.80,$96.5 m,2896963,$385.6 m
01/01/2024,$31.82,$33.38,$31.19,$33.34,$123 m,3822869,$372.6 m
12/31/2023,$33.14,$33.16,$31.61,$31.78,$107.2 m,3275561,$379.1 m
12/30/2023,$33.06,$33.58,$32.64,$33.14,$100 m,3028694,$382.4 m
12/29/2023,$36.83,$37.05,$32.48,$33.14,$226.5 m,6500769,$403.5 m
12/28/2023,$38.33,$38.41,$36.39,$36.80,$124.1 m,3324521,$432.2 m
12/27/2023,$36.13,$38.51,$34.67,$38.36,$127.3 m,3478263,$423.7 m
12/26/2023,$35.09,$36.64,$34.46,$36.09,$117 m,3287195,$412 m
12/25/2023,$34.40,$35.32,$34.16,$35.09,$98.2 m,2815661,$404 m
12/24/2023,$33.21,$35.22,$32.89,$34.38,$115.9 m,3422465,$392.1 m
12/23/2023,$33.11,$33.14,$32.22,$33.14,$71.3 m,2191641,$376.7 m
12/22/2023,$32.28,$33.09,$32.18,$33.09,$80.8 m,2474292,$378.3 m
12/21/2023,$31.23,$32.50,$31.05,$32.19,$74.1 m,2324284,$369 m
12/20/2023,$30.66,$31.86,$30.50,$31.21,$77.5 m,2490030,$360.4 m
12/19/2023,$31.46,$32.08,$30.37,$30.67,$76.5 m,2445535,$362.5 m
12/18/2023,$31.97,$32.17,$30.11,$31.45,$83.3 m,2684597,$359.5 m
12/17/2023,$32.93,$32.94,$31.95,$31.98,$65.1 m,2001491,$376.7 m
12/16/2023,$32.15,$33.01,$31.93,$32.75,$57.7 m,1764851,$378.5 m
12/15/2023,$33.95,$33.95,$32.06,$32.06,$68.6 m,2065002,$384.5 m
12/14/2023,$33.33,$34.07,$33.13,$33.98,$82.2 m,2446114,$389.1 m
12/13/2023,$33.00,$33.63,$32.03,$33.30,$82.1 m,2510831,$378.8 m
12/12/2023,$32.37,$33.11,$32.30,$32.97,$77.1 m,2357706,$374 m
12/11/2023,$34.90,$35.01,$31.64,$32.33,$100 m,3053083,$374.4 m
12/10/2023,$34.98,$36.11,$34.67,$34.87,$86 m,2444330,$402.3 m
12/09/2023,$34.66,$35.57,$34.64,$34.88,$97.4 m,2779935,$400.4 m
12/08/2023,$33.13,$35.20,$32.95,$34.63,$105.8 m,3134483,$385.7 m
12/07/2023,$32.10,$33.34,$32.04,$33.11,$83.4 m,2554530,$373.3 m
12/06/2023,$32.57,$32.83,$31.88,$32.03,$77.7 m,2400484,$369.9 m
12/05/2023,$32.38,$32.71,$31.55,$32.56,$75.5 m,2353411,$366.9 m
12/04/2023,$31.59,$32.74,$31.20,$32.38,$81.6 m,2545100,$366.5 m
12/03/2023,$31.87,$31.95,$31.17,$31.54,$66.9 m,2122880,$360.2 m
12/02/2023,$30.70,$31.95,$30.67,$31.88,$64.3 m,2056219,$357.7 m
12/01/2023,$30.16,$30.71,$30.06,$30.67,$63.3 m,2082069,$347.7 m
11/30/2023,$30.03,$30.26,$29.79,$30.16,$52 m,1728539,$343.6 m
11/29/2023,$30.05,$30.41,$29.56,$30.01,$63.7 m,2125646,$342.3 m
11/28/2023,$29.81,$30.47,$29.16,$30.00,$54.5 m,1826297,$341.2 m
11/27/2023,$30.79,$30.96,$29.11,$29.79,$63.6 m,2122217,$342.6 m
11/26/2023,$31.13,$31.17,$30.27,$30.79,$57.8 m,1870981,$353.1 m
11/25/2023,$30.10,$31.17,$30.04,$31.13,$51.4 m,1670668,$351.8 m
11/24/2023,$29.61,$30.47,$29.55,$30.09,$58 m,1934636,$342.7 m
11/23/2023,$29.18,$29.77,$28.99,$29.59,$61.2 m,2083554,$336 m
11/22/2023,$28.10,$29.47,$28.10,$29.16,$81.3 m,2840261,$327.1 m
11/21/2023,$30.68,$31.17,$27.96,$28.17,$70.5 m,2344145,$344 m
11/20/2023,$30.58,$31.22,$30.46,$30.67,$58.2 m,1889054,$352.2 m
11/19/2023,$29.95,$30.63,$29.29,$30.62,$55.6 m,1854200,$342.9 m
11/18/2023,$30.74,$30.74,$29.14,$29.96,$58.6 m,1958151,$342.1 m
11/17/2023,$30.63,$31.28,$29.71,$30.70,$63.3 m,2061966,$351.2 m
11/16/2023,$32.26,$32.61,$30.15,$30.67,$82.8 m,2612529,$362.4 m
11/15/2023,$30.90,$32.29,$30.90,$32.25,$72.4 m,2285907,$362.1 m
11/14/2023,$32.07,$32.51,$30.41,$30.89,$72.8 m,2295887,$362.6 m
11/13/2023,$33.63,$34.22,$32.01,$32.11,$87.8 m,2646762,$379.2 m
11/12/2023,$33.11,$33.93,$31.97,$33.66,$82.5 m,2491864,$378.3 m
11/11/2023,$32.09,$33.21,$31.38,$33.05,$115.8 m,3585153,$369.2 m
11/10/2023,$30.44,$32.19,$30.42,$32.04,$112.3 m,3588893,$357.8 m
11/09/2023,$31.38,$32.50,$29.23,$30.46,$158 m,5053435,$357.4 m
11/08/2023,$30.98,$31.69,$30.82,$31.42,$66.2 m,2116900,$357.7 m
11/07/2023,$31.05,$31.71,$30.31,$30.99,$78 m,2511874,$354.9 m
11/06/2023,$30.39,$31.21,$30.01,$31.05,$71.9 m,2346321,$350.5 m
11/05/2023,$29.86,$30.70,$29.80,$30.44,$79.7 m,2634052,$346 m
11/04/2023,$28.94,$30.01,$28.85,$29.79,$63.8 m,2173484,$335.8 m
