Date,Open,High,Low,Close,Volume,Volume(LTC),Market Cap
03/19/2024,$86.25,$86.72,$77.38,$78.38,$1 bn,12813946,$6 bn
03/18/2024,$85.27,$87.06,$80.99,$86.37,$669.8 m,7979828,$6.2 bn
03/17/2024,$83.90,$86.23,$81.23,$85.57,$608.3 m,7153095,$6.3 bn
03/16/2024,$89.04,$89.93,$82.71,$83.78,$698.7 m,7984299,$6.5 bn
03/15/2024,$94.16,$95.19,$85.02,$89.21,$1 bn,11435870,$6.6 bn
03/14/2024,$97.18,$97.68,$91.01,$94.22,$883 m,9268234,$7.1 bn
03/13/2024,$97.58,$98.70,$94.89,$97.23,$741 m,7625313,$7.2 bn
03/12/2024,$103.92,$104.12,$93.69,$97.58,$1.2 bn,11756984,$7.3 bn
03/11/2024,$87.44,$105.55,$85.13,$103.81,$1.5 bn,16174852,$7.1 bn
03/10/2024,$90.62,$90.64,$86.25,$87.41,$559.8 m,6319855,$6.6 bn
03/09/2024,$88.28,$90.75,$87.27,$90.64,$608.2 m,6847016,$6.6 bn
03/08/2024,$88.19,$89.04,$85.32,$88.33,$767.5 m,8742360,$6.5 bn
03/07/2024,$85.07,$88.52,$83.16,$87.30,$743.6 m,8683761,$6.4 bn
03/06/2024,$81.50,$86.43,$79.72,$85.04,$831.8 m,9982977,$6.2 bn
03/05/2024,$88.10,$91.66,$77.53,$81.47,$1.3 bn,15228693,$6.5 bn
03/04/2024,$90.73,$92.25,$87.23,$88.01,$884.3 m,9862963,$6.7 bn
03/03/2024,$94.44,$94.44,$87.33,$90.63,$787 m,8638524,$6.8 bn
03/02/2024,$84.17,$94.34,$83.95,$94.31,$1.1 bn,12329297,$6.7 bn
03/01/2024,$79.73,$85.05,$79.73,$84.32,$741.9 m,8887666,$6.2 bn
02/29/2024,$74.54,$84.00,$74.18,$79.58,$1.1 bn,13303100,$6 bn
02/28/2024,$73.99,$77.33,$72.08,$74.58,$812.4 m,10907883,$5.5 bn
02/27/2024,$72.07,$76.03,$72.06,$73.99,$697.3 m,9366634,$5.5 bn
02/26/2024,$70.22,$72.80,$69.45,$71.99,$462.5 m,6551788,$5.2 bn
02/25/2024,$70.51,$70.68,$69.85,$70.21,$300.4 m,4280092,$5.2 bn
02/24/2024,$69.08,$70.76,$68.81,$70.52,$310 m,4430528,$5.2 bn
02/23/2024,$68.95,$69.37,$68.23,$69.05,$324.7 m,4721801,$5.1 bn
02/22/2024,$69.08,$69.70,$68.26,$68.91,$375.4 m,5432346,$5.1 bn
02/21/2024,$69.79,$69.91,$67.88,$69.07,$363.4 m,5282504,$5.1 bn
02/20/2024,$71.42,$71.45,$68.51,$69.84,$457 m,6498356,$5.2 bn
02/19/2024,$70.92,$71.70,$70.77,$71.28,$364.1 m,5114814,$5.3 bn
02/18/2024,$70.34,$71.34,$69.98,$70.88,$329.9 m,4669617,$5.2 bn
02/17/2024,$71.00,$71.02,$68.94,$70.41,$347.3 m,4944961,$5.2 bn
02/16/2024,$69.88,$71.06,$69.50,$70.86,$391.6 m,5565235,$5.2 bn
02/15/2024,$70.05,$70.91,$69.45,$69.96,$465.6 m,6635567,$5.2 bn
02/14/2024,$69.16,$70.80,$68.81,$70.13,$498 m,7140866,$5.2 bn
02/13/2024,$72.80,$73.07,$68.63,$69.20,$538.9 m,7590227,$5.3 bn
02/12/2024,$71.27,$72.92,$70.40,$72.58,$373.4 m,5224841,$5.3 bn
02/11/2024,$70.62,$72.35,$70.50,$71.30,$378.3 m,5280103,$5.3 bn
02/10/2024,$70.53,$70.94,$70.00,$70.62,$308.2 m,4373237,$5.2 bn
02/09/2024,$70.29,$71.56,$70.11,$70.52,$457 m,6460529,$5.2 bn
02/08/2024,$68.84,$70.33,$68.59,$70.16,$346.7 m,5027123,$5.1 bn
02/07/2024,$68.45,$68.87,$68.00,$68.76,$323.3 m,4731084,$5.1 bn
02/06/2024,$67.84,$68.79,$67.81,$68.37,$285.3 m,4185216,$5.1 bn
02/05/2024,$67.19,$68.36,$66.99,$67.85,$274.1 m,4044758,$5 bn
02/04/2024,$68.87,$68.99,$67.01,$67.20,$273.5 m,4021089,$5 bn
02/03/2024,$68.25,$69.15,$68.09,$68.93,$263.3 m,3845626,$5.1 bn
02/02/2024,$67.71,$68.51,$67.65,$68.22,$280.6 m,4121237,$5 bn
02/01/2024,$67.05,$68.19,$66.16,$67.76,$307.6 m,4588181,$5 bn
01/31/2024,$67.83,$69.76,$66.63,$67.06,$404.7 m,5947129,$5 bn
01/30/2024,$68.55,$68.82,$67.65,$67.77,$306.2 m,4476829,$5.1 bn
01/29/2024,$68.51,$68.81,$67.18,$68.58,$346.2 m,5082769,$5 bn
01/28/2024,$68.18,$68.59,$67.65,$68.52,$307 m,4507642,$5.1 bn
01/27/2024,$67.30,$68.42,$66.67,$68.27,$291.8 m,4322296,$5 bn
