Date,Open,High,Low,Close,Volume,Volume(SOL),Market Cap
03/19/2024,$196.10,$198.20,$166.68,$169.86,$9.8 bn,54029950,$77.2 bn
03/18/2024,$201.41,$209.59,$195.09,$195.95,$7.8 bn,38721376,$86.2 bn
03/17/2024,$183.25,$203.68,$179.23,$202.30,$7.5 bn,39406009,$81.3 bn
03/16/2024,$183.35,$197.65,$177.78,$181.93,$8.6 bn,45942657,$80.1 bn
03/15/2024,$177.01,$188.35,$166.24,$183.03,$11.6 bn,65341526,$76 bn
03/14/2024,$163.89,$177.58,$160.44,$176.57,$7 bn,41495935,$71.9 bn
03/13/2024,$151.00,$165.82,$148.92,$163.77,$4.7 bn,30209396,$66 bn
03/12/2024,$148.80,$154.74,$143.01,$151.01,$5.1 bn,33901789,$64 bn
03/11/2024,$144.25,$149.94,$137.65,$148.74,$4.1 bn,28247547,$62.1 bn
03/10/2024,$144.27,$148.43,$140.97,$144.42,$2.5 bn,17289331,$62.1 bn
03/09/2024,$144.84,$149.06,$144.00,$144.36,$2.3 bn,15388242,$62.4 bn
03/08/2024,$144.18,$152.20,$142.33,$144.94,$4.6 bn,31335308,$62.4 bn
03/07/2024,$130.80,$148.95,$130.79,$144.03,$6 bn,42531108,$60.6 bn
03/06/2024,$125.66,$134.76,$120.55,$130.74,$4.7 bn,36379632,$54.9 bn
03/05/2024,$132.80,$142.14,$115.88,$125.49,$7.9 bn,60327080,$55.5 bn
03/04/2024,$130.46,$134.75,$127.93,$133.05,$4.1 bn,31123760,$55.7 bn
03/03/2024,$129.85,$131.89,$125.77,$130.35,$2.8 bn,21987338,$55.2 bn
03/02/2024,$129.85,$131.24,$127.62,$129.68,$2.6 bn,20228793,$55 bn
03/01/2024,$126.03,$137.34,$126.03,$129.98,$4.5 bn,33892623,$56.6 bn
02/29/2024,$119.53,$134.53,$117.55,$125.67,$6.3 bn,49886653,$54.2 bn
02/28/2024,$108.51,$117.93,$107.45,$117.93,$4.8 bn,43341671,$47.5 bn
02/27/2024,$110.18,$112.17,$106.07,$108.32,$2.5 bn,23000075,$46.8 bn
02/26/2024,$103.94,$110.38,$100.50,$109.86,$2.2 bn,21373830,$44.8 bn
02/25/2024,$104.62,$104.89,$102.14,$104.09,$903.5 m,8723248,$44.2 bn
02/24/2024,$100.07,$105.18,$98.62,$104.12,$1.1 bn,10538568,$43.6 bn
02/23/2024,$101.84,$103.02,$99.01,$99.95,$1.4 bn,13709855,$43.4 bn
02/22/2024,$104.87,$106.95,$101.70,$101.72,$1.6 bn,15455351,$44.5 bn
02/21/2024,$108.27,$108.30,$100.38,$105.11,$2 bn,19380871,$44.5 bn
02/20/2024,$111.78,$111.81,$105.06,$108.43,$2.4 bn,21718894,$46.4 bn
02/19/2024,$112.23,$114.67,$111.20,$111.45,$1.7 bn,15136329,$47.9 bn
02/18/2024,$108.83,$113.93,$107.60,$112.17,$1.4 bn,12498598,$47.3 bn
02/17/2024,$110.26,$111.03,$106.11,$108.94,$1.2 bn,10958694,$46.4 bn
02/16/2024,$113.61,$114.15,$108.33,$110.37,$1.6 bn,14691896,$47.5 bn
02/15/2024,$117.00,$118.27,$111.69,$113.57,$2.1 bn,18134132,$49.2 bn
02/14/2024,$112.34,$118.24,$110.82,$116.87,$2.1 bn,17928580,$48.9 bn
02/13/2024,$111.95,$114.83,$108.61,$112.55,$2.3 bn,20302162,$48.1 bn
02/12/2024,$107.46,$112.08,$103.66,$112.05,$2.3 bn,21769060,$45.8 bn
02/11/2024,$108.97,$110.48,$107.31,$107.51,$1.1 bn,10525695,$46.4 bn
02/10/2024,$107.01,$110.70,$106.98,$109.07,$1.6 bn,14290068,$46.4 bn
02/09/2024,$102.86,$108.89,$102.86,$106.82,$2.5 bn,23330771,$44.9 bn
02/08/2024,$101.14,$104.83,$100.62,$102.79,$1.9 bn,18863671,$43.6 bn
02/07/2024,$96.92,$101.19,$94.82,$100.97,$1.5 bn,15615416,$41.2 bn
02/06/2024,$95.56,$97.84,$93.47,$96.87,$1.5 bn,15168981,$40.8 bn
02/05/2024,$95.48,$98.56,$94.42,$95.64,$1.4 bn,14376746,$41.1 bn
02/04/2024,$97.86,$98.47,$95.30,$95.53,$1.1 bn,11289806,$41.5 bn
02/03/2024,$100.36,$101.11,$96.87,$97.84,$1.1 bn,11482516,$42.1 bn
02/02/2024,$97.77,$102.34,$97.55,$100.44,$2.2 bn,22140115,$42.6 bn
02/01/2024,$97.26,$97.94,$93.29,$97.84,$2.6 bn,26610751,$40.9 bn
01/31/2024,$101.62,$102.40,$96.12,$97.10,$3.2 bn,31901019,$42.6 bn
01/30/2024,$101.43,$106.18,$101.07,$101.37,$2.8 bn,26762623,$44.2 bn
01/29/2024,$95.64,$101.72,$95.14,$101.53,$2.2 bn,22541711,$41.9 bn
01/28/2024,$94.21,$99.29,$93.54,$95.94,$2 bn,21136219,$41 bn
01/27/2024,$92.21,$94.42,$90.86,$94.15,$1.1 bn,11439451,$39.4 bn
01/26/2024,$86.81,$93.56,$86.15,$92.34,$1.7 bn,19059750,$38.4 bn
01/25/2024,$88.62,$89.44,$85.39,$86.93,$1.4 bn,16133880,$37.3 bn
01/24/2024,$84.39,$89.22,$83.44,$88.86,$2 bn,23357559,$36.7 bn
01/23/2024,$83.92,$85.89,$79.21,$84.27,$2.6 bn,31149807,$35.2 bn
01/22/2024,$91.15,$91.66,$83.09,$83.62,$2.2 bn,24754160,$37.4 bn
01/21/2024,$92.75,$93.71,$90.93,$90.93,$735.5 m,7946221,$39.5 bn
01/20/2024,$93.43,$93.99,$90.55,$92.61,$1 bn,10966590,$39.4 bn
01/19/2024,$94.23,$95.20,$87.65,$93.43,$2.2 bn,23722349,$39.8 bn
01/18/2024,$102.70,$102.98,$92.32,$94.31,$2.2 bn,22362489,$41.9 bn
01/17/2024,$97.73,$102.42,$97.08,$102.02,$2.7 bn,27199066,$42.6 bn
01/16/2024,$94.50,$98.56,$94.42,$97.61,$1.5 bn,15756217,$41.2 bn
01/15/2024,$93.99,$96.75,$93.38,$94.49,$1.5 bn,15261536,$40.6 bn
01/14/2024,$95.81,$102.09,$94.04,$94.13,$2.2 bn,22764203,$41.5 bn
01/13/2024,$92.22,$96.87,$89.84,$95.70,$1.6 bn,17208015,$39.6 bn
01/12/2024,$99.98,$100.29,$88.21,$91.65,$2.3 bn,24076846,$41.4 bn
01/11/2024,$101.52,$106.95,$98.32,$99.94,$3.4 bn,33786655,$43.2 bn
01/10/2024,$99.17,$105.04,$92.52,$102.15,$3.7 bn,38243638,$41.6 bn
01/09/2024,$97.67,$103.70,$95.92,$99.34,$3.5 bn,35037892,$42.7 bn
01/08/2024,$89.41,$99.49,$85.74,$97.76,$3.7 bn,40356034,$39.6 bn
01/07/2024,$93.93,$96.70,$88.23,$89.29,$2 bn,20851462,$40.2 bn
01/06/2024,$99.90,$100.09,$92.30,$93.89,$2 bn,20853221,$40.8 bn
01/05/2024,$105.06,$105.12,$96.07,$99.94,$2.7 bn,27220635,$42.8 bn
01/04/2024,$98.44,$107.87,$96.94,$105.06,$3 bn,29369800,$43.3 bn
01/03/2024,$106.84,$109.79,$90.93,$98.53,$7.5 bn,72332720,$44 bn
01/02/2024,$109.47,$116.75,$106.17,$106.56,$5 bn,45092086,$47.4 bn
01/01/2024,$101.74,$109.44,$101.65,$109.44,$3 bn,28279371,$44.7 bn
12/31/2023,$102.25,$105.14,$100.14,$101.44,$1.9 bn,18904235,$43.8 bn
12/30/2023,$106.15,$107.13,$101.06,$102.25,$2.1 bn,20092218,$44.1 bn
12/29/2023,$101.85,$109.47,$99.91,$106.16,$5 bn,47039195,$45.1 bn
12/28/2023,$106.70,$109.40,$97.74,$101.93,$4.7 bn,45876950,$43.9 bn
12/27/2023,$113.05,$114.96,$105.41,$106.82,$4.4 bn,39865957,$47 bn
12/26/2023,$123.17,$123.18,$104.49,$112.55,$6.3 bn,55377993,$48.6 bn
12/25/2023,$112.82,$123.35,$108.76,$123.17,$6.3 bn,54651055,$49.2 bn
12/24/2023,$108.11,$117.38,$107.88,$112.48,$6.6 bn,58348710,$48.1 bn
12/23/2023,$97.69,$109.20,$93.02,$107.75,$4.2 bn,42962362,$41.7 bn
12/22/2023,$94.33,$99.12,$90.99,$97.96,$5.5 bn,57307577,$40.7 bn
12/21/2023,$81.91,$95.21,$81.48,$93.86,$5 bn,56529829,$37.4 bn
12/20/2023,$73.19,$83.83,$73.11,$82.13,$3.9 bn,49731688,$33.2 bn
12/19/2023,$74.29,$76.28,$71.97,$72.98,$1.9 bn,25867782,$31.7 bn
12/18/2023,$71.06,$75.34,$67.47,$74.35,$2.4 bn,33306718,$30.2 bn
12/17/2023,$73.96,$74.76,$70.89,$70.91,$1.5 bn,21183162,$31.2 bn
12/16/2023,$72.99,$77.10,$71.75,$73.63,$1.8 bn,24456281,$31.8 bn
12/15/2023,$75.50,$79.10,$72.37,$72.50,$3 bn,39893472,$32.4 bn
12/14/2023,$70.64,$75.99,$69.83,$75.62,$2.7 bn,37516351,$30.8 bn
12/13/2023,$68.45,$72.26,$64.27,$70.70,$2.7 bn,39621531,$28.8 bn
12/12/2023,$70.71,$72.28,$66.16,$68.61,$2.5 bn,36448081,$28.1 bn
12/11/2023,$74.37,$74.37,$67.27,$70.35,$4.6 bn,66172624,$28.1 bn
12/10/2023,$72.86,$74.65,$71.12,$74.65,$2.5 bn,33660833,$29.4 bn
12/09/2023,$74.83,$77.32,$72.24,$72.35,$3.5 bn,47294168,$30.2 bn
12/08/2023,$67.99,$75.08,$67.99,$74.89,$4.5 bn,62201069,$29 bn
12/07/2023,$61.79,$69.07,$61.75,$67.76,$3.7 bn,57593107,$25.9 bn
12/06/2023,$61.07,$66.20,$61.07,$61.78,$3.5 bn,54671665,$25.6 bn
12/05/2023,$61.43,$62.33,$59.57,$60.83,$2.1 bn,35193183,$24.4 bn
12/04/2023,$63.14,$65.04,$60.25,$61.49,$2.6 bn,41684809,$25.2 bn
12/03/2023,$63.63,$65.39,$62.36,$63.10,$1.8 bn,28421632,$25.6 bn
12/02/2023,$59.76,$63.76,$59.76,$63.76,$1.8 bn,29375317,$24.9 bn
12/01/2023,$59.28,$61.75,$58.69,$59.80,$1.8 bn,30327385,$24.4 bn
11/30/2023,$59.22,$61.44,$58.89,$59.22,$1.7 bn,27970014,$24.1 bn
11/29/2023,$58.18,$61.64,$57.80,$59.26,$2.5 bn,42630929,$24 bn
