Date,Open,High,Low,Close,Volume,Volume(XLM),Market Cap
03/19/2024,$0.1346,$0.1346,$0.1189,$0.1207,$237 m,1894531665,$3.6 bn
03/18/2024,$0.1320,$0.1371,$0.1251,$0.1352,$162.8 m,1255378348,$3.7 bn
03/17/2024,$0.1297,$0.1331,$0.1249,$0.1322,$115.1 m,881332286,$3.7 bn
03/16/2024,$0.1369,$0.1429,$0.1273,$0.1293,$166.8 m,1225203653,$3.9 bn
03/15/2024,$0.1447,$0.1455,$0.1292,$0.1368,$241.3 m,1781834460,$3.9 bn
03/14/2024,$0.1508,$0.1519,$0.1389,$0.1446,$237.1 m,1618218335,$4.2 bn
03/13/2024,$0.1493,$0.1533,$0.1467,$0.1508,$150.6 m,1002499673,$4.3 bn
03/12/2024,$0.1576,$0.1591,$0.1440,$0.1494,$224.8 m,1494025379,$4.3 bn
03/11/2024,$0.1397,$0.1621,$0.1359,$0.1570,$479.8 m,3240572935,$4.2 bn
03/10/2024,$0.1422,$0.1448,$0.1374,$0.1398,$128.3 m,905526390,$4 bn
03/09/2024,$0.1416,$0.1437,$0.1403,$0.1422,$121.5 m,854304563,$4.1 bn
03/08/2024,$0.1421,$0.1453,$0.1373,$0.1417,$223.9 m,1584387783,$4 bn
03/07/2024,$0.1386,$0.1432,$0.1378,$0.1420,$206.9 m,1469043759,$4 bn
03/06/2024,$0.1323,$0.1384,$0.1283,$0.1382,$299.4 m,2230275055,$3.8 bn
03/05/2024,$0.1456,$0.1529,$0.1255,$0.1322,$533.7 m,3711476015,$4.1 bn
03/04/2024,$0.1358,$0.1572,$0.1345,$0.1457,$381.9 m,2652560371,$4.1 bn
03/03/2024,$0.1381,$0.1398,$0.1312,$0.1356,$164.9 m,1221691347,$3.9 bn
03/02/2024,$0.1269,$0.1383,$0.1269,$0.1383,$235.2 m,1762824195,$3.8 bn
03/01/2024,$0.1223,$0.1272,$0.1223,$0.1271,$113.5 m,911099026,$3.5 bn
02/29/2024,$0.1211,$0.1280,$0.1195,$0.1218,$192.9 m,1549187003,$3.5 bn
02/28/2024,$0.1231,$0.1249,$0.1168,$0.1210,$176.4 m,1451196710,$3.5 bn
02/27/2024,$0.1180,$0.1233,$0.1172,$0.1229,$129.6 m,1080152815,$3.4 bn
02/26/2024,$0.1165,$0.1180,$0.1142,$0.1179,$75.4 m,649215451,$3.3 bn
02/25/2024,$0.1164,$0.1169,$0.1155,$0.1165,$54.1 m,466406218,$3.3 bn
02/24/2024,$0.1149,$0.1174,$0.1138,$0.1164,$53.8 m,462613918,$3.3 bn
02/23/2024,$0.1154,$0.1163,$0.1134,$0.1148,$73 m,634624542,$3.3 bn
02/22/2024,$0.1145,$0.1176,$0.1135,$0.1153,$70.9 m,612792321,$3.3 bn
02/21/2024,$0.1178,$0.1178,$0.1111,$0.1144,$82 m,717987294,$3.3 bn
02/20/2024,$0.1186,$0.1213,$0.1146,$0.1177,$121.2 m,1024410678,$3.4 bn
02/19/2024,$0.1162,$0.1191,$0.1162,$0.1185,$69 m,587899104,$3.3 bn
02/18/2024,$0.1142,$0.1168,$0.1138,$0.1164,$53.9 m,466387620,$3.3 bn
02/17/2024,$0.1155,$0.1159,$0.1120,$0.1142,$54.7 m,479237726,$3.2 bn
02/16/2024,$0.1167,$0.1181,$0.1141,$0.1155,$71.5 m,615204105,$3.3 bn
02/15/2024,$0.1144,$0.1173,$0.1140,$0.1166,$101.3 m,876241810,$3.3 bn
02/14/2024,$0.1110,$0.1146,$0.1103,$0.1143,$71.3 m,632659915,$3.2 bn
02/13/2024,$0.1132,$0.1141,$0.1098,$0.1110,$72.7 m,650398356,$3.2 bn
02/12/2024,$0.1112,$0.1132,$0.1098,$0.1132,$65.3 m,587723789,$3.2 bn
02/11/2024,$0.1116,$0.1130,$0.1107,$0.1112,$51.6 m,460767255,$3.2 bn
02/10/2024,$0.1121,$0.1128,$0.1107,$0.1116,$46 m,411156766,$3.2 bn
02/09/2024,$0.1098,$0.1122,$0.1098,$0.1120,$58.9 m,529683502,$3.2 bn
