Date,Open,High,Low,Close,Volume,Volume(STX),Market Cap
03/19/2024,$2.66,$2.96,$2.50,$2.70,$364.4 m,133752931,$3.9 bn
03/18/2024,$2.77,$2.78,$2.58,$2.65,$83.7 m,31189654,$3.8 bn
03/17/2024,$2.63,$2.80,$2.59,$2.77,$165.1 m,60372708,$3.9 bn
03/16/2024,$2.80,$2.84,$2.52,$2.61,$105.9 m,39166424,$3.9 bn
03/15/2024,$2.94,$2.98,$2.61,$2.80,$184.9 m,66522440,$4 bn
03/14/2024,$3.10,$3.11,$2.80,$2.93,$167.2 m,56400944,$4.2 bn
03/13/2024,$3.03,$3.17,$2.95,$3.09,$157.8 m,51457876,$4.4 bn
03/12/2024,$3.07,$3.14,$2.87,$3.04,$172.1 m,57027560,$4.3 bn
03/11/2024,$2.96,$3.38,$2.85,$3.07,$378 m,122570500,$4.4 bn
03/10/2024,$2.81,$3.30,$2.80,$2.96,$431.1 m,142896989,$4.3 bn
03/09/2024,$2.83,$2.86,$2.79,$2.81,$81.4 m,28845989,$4 bn
03/08/2024,$2.92,$3.02,$2.79,$2.83,$165.3 m,57549047,$4.1 bn
03/07/2024,$2.84,$2.93,$2.74,$2.91,$143 m,50279436,$4.1 bn
03/06/2024,$2.73,$2.90,$2.60,$2.84,$190.6 m,68909938,$3.9 bn
03/05/2024,$3.01,$3.04,$2.46,$2.74,$333.7 m,116855619,$4.1 bn
03/04/2024,$3.04,$3.18,$2.93,$3.03,$282.8 m,92252544,$4.4 bn
03/03/2024,$2.96,$3.12,$2.84,$3.04,$212.6 m,70607880,$4.3 bn
03/02/2024,$2.97,$2.97,$2.89,$2.97,$110.2 m,37634653,$4.2 bn
03/01/2024,$2.91,$3.03,$2.89,$2.98,$187 m,63264145,$4.2 bn
02/29/2024,$3.10,$3.12,$2.83,$2.90,$333.2 m,110933003,$4.3 bn
02/28/2024,$2.95,$3.38,$2.92,$3.10,$706.1 m,228949778,$4.4 bn
02/27/2024,$2.90,$3.26,$2.87,$2.95,$596.4 m,195279421,$4.4 bn
02/26/2024,$2.59,$2.91,$2.44,$2.91,$281.4 m,107229420,$3.7 bn
02/25/2024,$2.58,$2.63,$2.52,$2.59,$93.8 m,36542776,$3.7 bn
02/24/2024,$2.45,$2.60,$2.39,$2.59,$138.5 m,55241988,$3.6 bn
02/23/2024,$2.55,$2.62,$2.41,$2.45,$169.3 m,66958673,$3.6 bn
02/22/2024,$2.67,$2.71,$2.52,$2.55,$186.3 m,71490599,$3.7 bn
02/21/2024,$2.70,$2.89,$2.56,$2.66,$389.3 m,143092842,$3.9 bn
02/20/2024,$2.64,$2.84,$2.58,$2.71,$323.1 m,119163755,$3.9 bn
02/19/2024,$2.65,$2.91,$2.59,$2.64,$339.9 m,125016821,$3.9 bn
02/18/2024,$2.53,$2.66,$2.46,$2.64,$155.9 m,61924015,$3.6 bn
